"","lead","non","year"
"2552","11295-73","167562-37",2018
"2553","11295-73","52815-70",2018
"2554","11295-73","52912-00",2018
"2555","155590-75","11209-51",2018
"2556","155590-75","11290-51",2018
"2557","155590-75","14144-86",2018
"2558","155590-75","151582-87",2018
"2559","155590-75","155590-75",2018
"2560","155590-75","222564-34",2018
"2561","155590-75","25255-63",2018
"2562","155590-75","59938-66",2018
"2563","11228-50","11228-50",2018
"2564","11333-26","11228-50",2018
"2565","58200-40","11228-50",2018
"2566","11228-50","11333-26",2018
"2567","11333-26","11333-26",2018
"2568","58200-40","11333-26",2018
"2569","11228-50","58200-40",2018
"2570","11333-26","58200-40",2018
"2571","58200-40","58200-40",2018
"2572","11228-50","58988-17",2018
"2573","11333-26","58988-17",2018
"2574","58200-40","58988-17",2018
"2575","168190-21","148770-82",2018
"2576","168190-21","168190-21",2018
"2577","11210-32","11210-32",2018
"2578","11210-32","154143-37",2018
"2579","11210-32","157761-46",2018
"2580","11210-32","172228-42",2018
"2581","11210-32","97202-35",2018
"2582","11317-33","112889-26",2018
"2583","11317-33","11317-33",2018
"2584","11317-33","120668-32",2018
"2585","11317-33","51639-67",2018
"2586","11317-33","53906-41",2018
"2587","52774-75","14194-54",2018
"2588","52774-75","52774-75",2018
"2589","11251-81","11251-81",2018
"2590","11251-81","179528-14",2018
"2591","11251-81","54440-65",2018
"2592","163642-87","102235-42",2018
"2593","60139-90","102235-42",2018
"2594","163642-87","163642-87",2018
"2595","60139-90","163642-87",2018
"2596","163642-87","60139-90",2018
"2597","60139-90","60139-90",2018
"2598","53961-94","227946-43",2018
"2599","53961-94","53961-94",2018
"2600","157188-97","11256-40",2018
"2601","157188-97","157188-97",2018
"2602","157188-97","42156-01",2018
"2603","42259-06","156884-23",2018
"2604","42259-06","221501-17",2018
"2605","42259-06","42259-06",2018
"2606","181279-45","151085-44",2018
"2607","52363-99","151085-44",2018
"2608","60216-58","151085-44",2018
"2609","181279-45","181279-45",2018
"2610","52363-99","181279-45",2018
"2611","60216-58","181279-45",2018
"2612","181279-45","52363-99",2018
"2613","52363-99","52363-99",2018
"2614","60216-58","52363-99",2018
"2615","181279-45","60216-58",2018
"2616","52363-99","60216-58",2018
"2617","60216-58","60216-58",2018
"2618","181279-45","89936-74",2018
"2619","52363-99","89936-74",2018
"2620","60216-58","89936-74",2018
"2621","11229-04","11229-04",2018
"2622","11229-04","11323-45",2018
"2623","11229-04","41716-90",2018
"2624","11229-04","52274-89",2018
"2625","11290-51","11201-59",2018
"2626","11290-51","11228-50",2018
"2627","11290-51","11290-51",2018
"2628","11290-51","154240-03",2018
"2629","11290-51","185891-41",2018
"2630","11303-02","11189-44",2018
"2631","11303-02","11303-02",2018
"2632","11303-02","50980-60",2018
"2633","11124-64","11124-64",2018
"2634","11191-87","11124-64",2018
"2635","11124-64","11191-87",2018
"2636","11191-87","11191-87",2018
"2637","58281-49","54595-36",2018
"2638","58281-49","58281-49",2018
"2639","11215-54","11215-54",2018
"2640","11215-54","227955-61",2018
"2641","153143-11","149279-77",2018
"2642","169913-17","149279-77",2018
"2643","153143-11","153143-11",2018
"2644","169913-17","153143-11",2018
"2645","153143-11","169913-17",2018
"2646","169913-17","169913-17",2018
"2647","153143-11","222601-06",2018
"2648","169913-17","222601-06",2018
"2649","11165-50","11165-50",2018
"2650","55346-14","11165-50",2018
"2651","11165-50","54662-95",2018
"2652","55346-14","54662-95",2018
"2653","11165-50","55346-14",2018
"2654","55346-14","55346-14",2018
"2655","227963-89","122048-74",2018
"2656","227963-89","227963-89",2018
"2657","11240-02","11240-02",2018
"2658","11240-02","181043-74",2018
"2659","11240-02","56745-10",2018
"2660","11240-02","56847-16",2018
"2661","44160-40","44160-40",2018
"2662","44160-40","66182-95",2018
"2663","11286-73","11286-73",2018
"2664","11286-73","42711-76",2018
"2665","11286-73","51375-97",2018
"2666","11286-73","60288-85",2018
"2667","168793-30","148770-82",2018
"2668","168793-30","168793-30",2018
"2669","42254-83","42254-83",2018
"2670","54173-80","42254-83",2018
"2671","42254-83","54173-80",2018
"2672","54173-80","54173-80",2018
"2673","52725-16","123700-87",2018
"2674","52725-16","52725-16",2018
"2675","106810-30","106810-30",2018
"2676","42955-30","106810-30",2018
"2677","106810-30","42955-30",2018
"2678","42955-30","42955-30",2018
"2679","11216-98","11216-98",2018
"2680","11216-98","54150-49",2018
"2681","11216-98","56745-10",2018
"2682","56355-94","108358-57",2018
"2683","56355-94","228097-63",2018
"2684","56355-94","56355-94",2018
"2685","56355-94","96644-53",2018
"2686","170164-99","170164-99",2018
"2687","170164-99","52858-63",2018
"2688","11274-22","11274-22",2018
"2689","11274-22","11315-62",2018
"2690","11274-22","167492-08",2018
"2691","11274-22","228097-63",2018
"2692","11274-22","51500-08",2018
"2693","11171-44","11171-44",2010
"2694","11171-44","11316-34",2010
"2695","11171-44","11330-83",2010
"2696","11171-44","51640-48",2010
"2697","11300-05","11300-05",2018
"2698","11300-05","11341-90",2018
"2699","11300-05","54967-24",2018
"2700","25267-78","11154-43",2018
"2701","25267-78","25267-78",2018
"2702","25267-78","39761-56",2018
"2703","25267-78","55285-66",2018
"2704","59932-00","179263-00",2018
"2705","59932-00","54540-82",2018
"2706","59932-00","59932-00",2018
"2707","115383-61","115383-61",2018
"2708","182284-57","115383-61",2018
"2709","228075-76","115383-61",2018
"2710","115383-61","182284-57",2018
"2711","182284-57","182284-57",2018
"2712","228075-76","182284-57",2018
"2713","115383-61","228075-76",2018
"2714","182284-57","228075-76",2018
"2715","228075-76","228075-76",2018
"2716","115383-61","228076-12",2018
"2717","182284-57","228076-12",2018
"2718","228075-76","228076-12",2018
"2719","115383-61","42957-28",2018
"2720","182284-57","42957-28",2018
"2721","228075-76","42957-28",2018
"2722","58994-74","101626-39",2018
"2723","58994-74","154035-46",2018
"2724","58994-74","58994-74",2018
"2725","167212-00","107979-40",2018
"2726","53992-27","107979-40",2018
"2727","167212-00","157211-74",2018
"2728","53992-27","157211-74",2018
"2729","167212-00","167212-00",2018
"2730","53992-27","167212-00",2018
"2731","167212-00","53992-27",2018
"2732","53992-27","53992-27",2018
"2733","11224-18","11224-18",2018
"2734","11224-18","149809-42",2018
"2735","120589-93","10134-73",2018
"2736","120589-93","11230-12",2018
"2737","120589-93","120589-93",2018
"2738","120589-93","11230-12",2018
"2739","120589-93","120589-93",2018
"2740","120589-93","56669-77",2018
"2741","56852-47","11290-51",2018
"2742","56852-47","50911-66",2018
"2743","56852-47","51472-63",2018
"2744","56852-47","56852-47",2018
"2745","11321-29","11321-29",2016
"2746","11321-29","24981-04",2016
"2747","11321-29","51639-94",2016
"2748","11326-33","10367-47",2018
"2749","11326-33","11111-05",2018
"2750","11326-33","11300-05",2018
"2751","11326-33","11326-33",2018
"2752","168935-50","11296-45",2018
"2753","61040-17","11296-45",2018
"2754","168935-50","11326-33",2018
"2755","61040-17","11326-33",2018
"2756","168935-50","168935-50",2018
"2757","61040-17","168935-50",2018
"2758","168935-50","40764-07",2018
"2759","61040-17","40764-07",2018
"2760","168935-50","50980-69",2018
"2761","61040-17","50980-69",2018
"2762","168935-50","56096-29",2018
"2763","61040-17","56096-29",2018
"2764","168935-50","60873-76",2018
"2765","61040-17","60873-76",2018
"2766","168935-50","61040-17",2018
"2767","61040-17","61040-17",2018
"2768","168935-50","61817-68",2018
"2769","61040-17","61817-68",2018
"2770","168935-50","61956-64",2018
"2771","61040-17","61956-64",2018
"2772","11104-03","11104-03",2018
"2773","11135-71","11104-03",2018
"2774","11252-44","11104-03",2018
"2775","11104-03","11135-71",2018
"2776","11135-71","11135-71",2018
"2777","11252-44","11135-71",2018
"2778","11104-03","11174-14",2018
"2779","11135-71","11174-14",2018
"2780","11252-44","11174-14",2018
"2781","11104-03","11252-44",2018
"2782","11135-71","11252-44",2018
"2783","11252-44","11252-44",2018
"2784","52782-76","169498-45",2018
"2785","52782-76","52782-76",2018
"2786","11263-15","11263-15",2018
"2787","11263-15","53715-43",2018
"2788","96783-58","62981-92",2018
"2789","96783-58","96783-58",2018
"2790","228114-55","228114-55",2018
"2791","228114-64","228114-55",2018
"2792","228114-55","228114-64",2018
"2793","228114-64","228114-64",2018
"2794","228114-55","228114-91",2018
"2795","228114-64","228114-91",2018
"2796","228114-55","58059-73",2018
"2797","228114-64","58059-73",2018
"2798","55961-83","55961-83",2018
"2799","60658-75","55961-83",2018
"2800","55961-83","60658-75",2018
"2801","60658-75","60658-75",2018
"2802","180860-23","180860-23",2018
"2803","180860-23","228132-46",2018
"2804","120589-93","120589-93",2018
"2805","123170-05","120589-93",2018
"2806","120589-93","123170-05",2018
"2807","123170-05","123170-05",2018
"2808","56336-59","41013-28",2018
"2809","56336-59","56336-59",2018
"2810","56336-59","98099-92",2018
"2811","161320-87","161320-87",2018
"2812","161320-87","58222-18",2018
"2813","161320-87","82380-61",2018
"2814","11240-47","10156-69",2018
"2815","11240-47","11240-47",2018
"2816","51094-99","11110-60",2018
"2817","51094-99","11129-59",2018
"2818","51094-99","166518-73",2018
"2819","51094-99","42305-95",2018
"2820","51094-99","51004-54",2018
"2821","51094-99","51094-99",2018
"2822","51094-99","51577-30",2018
"2823","51094-99","53326-54",2018
"2824","221470-66","221470-66",2018
"2825","221470-66","60672-16",2018
"2826","11263-51","11122-12",2018
"2827","11263-51","11263-51",2018
"2828","11263-51","152980-03",2018
"2829","11263-51","51625-27",2018
"2830","11263-51","51639-76",2018
"2831","89936-74","55778-14",2018
"2832","89936-74","89936-74",2018
"2833","11149-30","11149-30",2018
"2834","11149-30","11204-20",2018
"2835","166999-87","11122-39",2018
"2836","166999-87","166999-87",2018
"2837","174882-34","119045-26",2016
"2838","174882-34","174882-34",2016
"2839","174882-34","228198-61",2016
"2840","174882-34","228198-88",2016
"2841","11303-11","11303-11",2018
"2842","11303-11","11330-29",2018
"2843","121798-63","121798-63",2018
"2844","121798-63","55346-23",2018
"2845","11215-63","11215-63",2018
"2846","40829-14","11215-63",2018
"2847","11215-63","40829-14",2018
"2848","40829-14","40829-14",2018
"2849","11261-80","11120-59",2018
"2850","11261-80","11261-80",2018
"2851","11261-80","11263-51",2018
"2852","59954-23","54899-74",2017
"2853","59954-23","59954-23",2017
"2854","54150-49","54150-49",2017
"2855","65130-40","54150-49",2017
"2856","54150-49","65130-40",2017
"2857","65130-40","65130-40",2017
"2858","11326-33","11326-33",2017
"2859","11326-33","53906-41",2017
"2860","55646-38","55646-38",2018
"2861","55646-38","61094-53",2018
"2862","180514-90","123826-78",2018
"2863","180514-90","180514-90",2018
"2864","180514-90","42278-41",2018
"2865","10139-41","10139-41",2018
"2866","10139-41","51022-00",2018
"2867","10139-41","52296-76",2018
"2868","107979-40","107979-40",2018
"2869","92869-39","107979-40",2018
"2870","107979-40","92869-39",2018
"2871","92869-39","92869-39",2018
"2872","10364-77","10364-77",2018
"2873","10364-77","224127-91",2018
"2874","10364-77","54068-23",2018
"2875","10364-77","83255-32",2018
"2876","89936-74","149713-57",2018
"2877","89936-74","168191-92",2018
"2878","89936-74","169913-17",2018
"2879","89936-74","228272-86",2018
"2880","89936-74","61372-27",2018
"2881","89936-74","89936-74",2018
"2882","11211-40","11211-40",2018
"2883","11211-40","11216-98",2018
"2884","51762-25","149720-23",2018
"2885","51762-25","178403-05",2018
"2886","51762-25","51762-25",2018
"2887","10618-12","10618-12",2018
"2888","10618-12","124108-57",2018
"2889","10618-12","164406-34",2018
"2890","10618-12","51762-25",2018
"2891","10618-12","52773-04",2018
"2892","125436-34","10521-46",2018
"2893","125436-34","125436-34",2018
"2894","125436-34","149803-12",2018
"2895","125436-34","169641-82",2018
"2896","58663-63","11220-22",2018
"2897","58663-63","11263-51",2018
"2898","58663-63","54383-77",2018
"2899","58663-63","58663-63",2018
"2900","62030-98","10228-51",2018
"2901","62030-98","11322-28",2018
"2902","62030-98","13473-10",2018
"2903","62030-98","62030-98",2018
"2904","42202-18","11247-94",2018
"2905","42202-18","42202-18",2018
"2906","42202-18","62803-99",2018
"2907","129039-49","11228-50",2018
"2908","129039-49","129039-49",2018
"2909","129039-49","163040-23",2018
"2910","56021-59","125027-02",2018
"2911","56021-59","52162-93",2018
"2912","56021-59","56021-59",2018
"2913","56021-59","56093-68",2018
"2914","179376-13","125876-89",2018
"2915","179376-13","179376-13",2018
"2916","10052-20","10052-20",2018
"2917","10052-20","10446-40",2018
"2918","10052-20","11156-14",2018
"2919","10052-20","11158-39",2018
"2920","10052-20","11209-51",2018
"2921","11108-17","107422-39",2018
"2922","11108-17","11108-17",2018
"2923","52135-93","11205-64",2018
"2924","52135-93","11241-91",2018
"2925","52135-93","11296-45",2018
"2926","52135-93","52135-93",2018
"2927","164277-73","11261-98",2017
"2928","164277-73","164277-73",2017
"2929","164277-73","58222-18",2017
"2930","11132-38","11132-38",2000
"2931","11132-38","51161-05",2000
"2932","11290-51","11290-51",2018
"2933","11290-51","51097-51",2018
"2934","11290-51","52649-11",2018
"2935","11290-51","55618-12",2018
"2936","111146-41","104637-97",2018
"2937","111146-41","111146-41",2018
"2938","183214-18","183214-18",2018
"2939","183214-18","224121-16",2018
"2940","183214-18","60636-52",2018
"2941","59932-00","179263-00",2018
"2942","59932-00","52681-42",2018
"2943","59932-00","59932-00",2018
"2944","11203-21","11203-21",2018
"2945","11203-21","55778-14",2018
"2946","11203-21","89936-74",2018
"2947","42340-15","42340-15",2018
"2948","42340-15","51057-82",2018
"2949","42340-15","97416-10",2018
"2950","55360-09","52775-83",2018
"2951","55360-09","55360-09",2018
"2952","10215-73","10215-73",2018
"2953","10215-73","11210-32",2018
"2954","10215-73","11260-45",2018
"2955","10215-73","168227-20",2018
"2956","10215-73","187651-45",2018
"2957","42173-20","126970-03",2018
"2958","42173-20","42173-20",2018
"2959","11270-26","11270-26",2018
"2960","170053-39","11270-26",2018
"2961","11270-26","170053-39",2018
"2962","170053-39","170053-39",2018
"2963","11191-96","11191-96",2018
"2964","11191-96","149720-23",2018
"2965","11191-96","181009-27",2018
"2966","164363-05","164363-05",2018
"2967","164363-05","87534-82",2018
"2968","53721-37","53721-37",2018
"2969","53721-37","55346-23",2018
"2970","53721-37","55472-14",2018
"2971","11300-14","11252-44",2018
"2972","11300-14","11300-14",2018
"2973","11300-14","11373-85",2018
"2974","11300-14","13473-10",2018
"2975","149806-90","149806-90",2018
"2976","62765-74","149806-90",2018
"2977","149806-90","226212-58",2018
"2978","62765-74","226212-58",2018
"2979","149806-90","62765-74",2018
"2980","62765-74","62765-74",2018
"2981","52646-23","52646-23",2016
"2982","52646-23","55481-05",2016
"2983","52274-89","52274-89",2018
"2984","52274-89","60593-77",2018
"2985","168422-50","168422-50",2018
"2986","168422-50","61838-11",2018
"2987","109408-06","102495-16",2018
"2988","109408-06","109408-06",2018
"2989","109408-06","109844-83",2018
"2990","109408-06","126033-67",2018
"2991","109408-06","155949-67",2018
"2992","109408-06","226546-48",2018
"2993","109408-06","51327-55",2018
"2994","109408-06","52296-76",2018
"2995","109408-06","52370-29",2018
"2996","109408-06","56010-97",2018
"2997","109408-06","56351-53",2018
"2998","109408-06","61755-22",2018
"2999","168935-50","168935-50",2018
"3000","168935-50","51029-47",2018
"3001","168935-50","51189-94",2018
"3002","168935-50","56355-94",2018
"3003","168935-50","58740-40",2018
"3004","168935-50","91238-59",2018
"3005","55527-58","53315-65",2018
"3006","55527-58","55527-58",2018
"3007","179491-42","179491-42",2018
"3008","179491-42","228466-45",2018
"3009","118725-85","118725-85",2018
"3010","118725-85","50980-60",2018
"3011","118725-85","51007-51",2018
"3012","109318-06","109318-06",2018
"3013","109318-06","51639-76",2018
"3014","109318-06","91046-62",2018
"3015","11320-39","11318-86",2018
"3016","11320-39","11320-39",2018
"3017","11320-39","126290-08",2018
"3018","11320-39","160056-64",2018
"3019","11229-85","11140-93",2018
"3020","11229-85","11229-85",2018
"3021","11229-85","11255-50",2018
"3022","11229-85","83255-32",2018
"3023","42796-99","167489-20",2018
"3024","42796-99","42796-99",2018
"3025","228479-77","11215-54",2018
"3026","228479-77","228479-77",2018
"3027","225815-77","184302-10",2018
"3028","225815-77","225815-77",2018
"3029","225815-77","55481-05",2018
"3030","11335-51","11333-26",2018
"3031","11335-51","11335-51",2018
"3032","179175-34","179175-34",2018
"3033","60808-78","179175-34",2018
"3034","179175-34","60808-78",2018
"3035","60808-78","60808-78",2018
"3036","53333-83","167604-13",2018
"3037","53333-83","24981-04",2018
"3038","53333-83","53333-83",2018
"3039","54880-12","10139-41",2018
"3040","54880-12","108358-57",2018
"3041","54880-12","54880-12",2018
"3042","56010-97","56010-97",2018
"3043","56010-97","56199-52",2018
"3044","56021-59","104667-94",2018
"3045","56021-59","56021-59",2018
"3046","52925-23","11338-93",2018
"3047","52925-23","51762-25",2018
"3048","52925-23","52773-04",2018
"3049","52925-23","52775-83",2018
"3050","52925-23","52925-23",2018
"3051","51048-28","42788-17",2018
"3052","51048-28","51048-28",2018
"3053","11227-60","11227-60",2018
"3054","167914-09","11227-60",2018
"3055","11227-60","167914-09",2018
"3056","167914-09","167914-09",2018
"3057","11274-04","11240-02",2018
"3058","11274-04","11274-04",2018
"3059","11274-04","52348-33",2018
"3060","11171-44","11171-44",2018
"3061","11171-44","41716-90",2018
"3062","11171-44","51586-39",2018
"3063","53967-52","157481-47",2018
"3064","53967-52","53967-52",2018
"3065","11154-43","11104-03",2018
"3066","11154-43","11154-43",2018
"3067","11154-43","51625-27",2018
"3068","11216-98","11216-98",2018
"3069","11216-98","40732-48",2018
"3070","122747-50","122747-50",2018
"3071","55527-58","122747-50",2018
"3072","122747-50","55527-58",2018
"3073","55527-58","55527-58",2018
"3074","50980-24","10615-60",2018
"3075","96644-53","10615-60",2018
"3076","50980-24","11237-14",2018
"3077","96644-53","11237-14",2018
"3078","50980-24","50980-24",2018
"3079","96644-53","50980-24",2018
"3080","50980-24","96644-53",2018
"3081","96644-53","96644-53",2018
"3082","52206-94","11228-32",2018
"3083","52206-94","163281-16",2018
"3084","52206-94","166228-84",2018
"3085","52206-94","179487-73",2018
"3086","52206-94","179487-82",2018
"3087","52206-94","179487-91",2018
"3088","52206-94","52206-94",2018
"3089","166690-90","111498-04",2018
"3090","51629-14","111498-04",2018
"3091","166690-90","11230-66",2018
"3092","51629-14","11230-66",2018
"3093","166690-90","166690-90",2018
"3094","51629-14","166690-90",2018
"3095","166690-90","51629-14",2018
"3096","51629-14","51629-14",2018
"3097","124408-36","124408-36",2018
"3098","124408-36","163989-55",2018
"3099","52202-35","153042-22",2017
"3100","52202-35","52202-35",2017
"3101","158505-58","104637-97",2018
"3102","158505-58","158505-58",2018
"3103","126201-25","126201-25",2018
"3104","126201-25","53906-41",2018
"3105","126201-25","55868-32",2018
"3106","106930-45","106930-45",2015
"3107","106930-45","57999-43",2015
"3108","155248-48","112076-65",2018
"3109","184302-10","112076-65",2018
"3110","51734-08","112076-65",2018
"3111","155248-48","125461-09",2018
"3112","184302-10","125461-09",2018
"3113","51734-08","125461-09",2018
"3114","155248-48","155248-48",2018
"3115","184302-10","155248-48",2018
"3116","51734-08","155248-48",2018
"3117","155248-48","184302-10",2018
"3118","184302-10","184302-10",2018
"3119","51734-08","184302-10",2018
"3120","155248-48","51734-08",2018
"3121","184302-10","51734-08",2018
"3122","51734-08","51734-08",2018
"3123","155248-48","56401-21",2018
"3124","184302-10","56401-21",2018
"3125","51734-08","56401-21",2018
"3126","54726-76","123030-10",2018
"3127","54726-76","149517-28",2018
"3128","54726-76","162578-26",2018
"3129","54726-76","222603-49",2018
"3130","54726-76","54726-76",2018
"3131","11215-54","11204-20",2018
"3132","11215-54","11215-54",2018
"3133","11215-54","57999-43",2018
"3134","56148-13","51599-53",2018
"3135","56148-13","56148-13",2018
"3136","10134-73","10134-73",2018
"3137","10134-73","11237-95",2018
"3138","10134-73","11258-83",2018
"3139","11242-54","11242-54",2018
"3140","11242-54","149720-23",2018
"3141","39761-56","39761-56",2018
"3142","39761-56","55285-66",2018
"3143","11263-15","11142-19",2018
"3144","11263-15","11263-15",2018
"3145","11263-15","51702-67",2018
"3146","11320-66","11189-44",2018
"3147","11320-66","11296-45",2018
"3148","11320-66","11320-66",2018
"3149","160090-57","160090-57",2018
"3150","160090-57","63840-61",2018
"3151","11109-61","11109-61",2018
"3152","55161-46","11109-61",2018
"3153","60152-86","11109-61",2018
"3154","11109-61","55161-46",2018
"3155","55161-46","55161-46",2018
"3156","60152-86","55161-46",2018
"3157","11109-61","60152-86",2018
"3158","55161-46","60152-86",2018
"3159","60152-86","60152-86",2018
"3160","161639-74","161639-74",2018
"3161","161639-74","51762-25",2018
"3162","161639-74","52775-83",2018
"3163","11228-50","11228-50",2018
"3164","11228-50","167763-16",2018
"3165","11228-50","170851-60",2018
"3166","11228-50","62158-15",2018
"3167","98210-98","51485-32",2018
"3168","98210-98","52524-82",2018
"3169","98210-98","98210-98",2018
"3170","118725-85","118725-85",2018
"3171","118725-85","50980-60",2018
"3172","118725-85","56833-03",2018
"3173","96783-58","59995-09",2017
"3174","96783-58","96783-58",2017
"3175","10139-41","100624-51",2018
"3176","10139-41","10139-41",2018
"3177","10139-41","56387-35",2018
"3178","11293-66","10134-73",2018
"3179","11293-66","11240-47",2018
"3180","11293-66","11293-66",2018
"3181","11293-66","11320-66",2018
"3182","11293-66","45703-99",2018
"3183","11293-66","61956-64",2018
"3184","96060-25","11104-03",2018
"3185","96060-25","11111-68",2018
"3186","96060-25","96060-25",2018
"3187","168471-82","153826-03",2018
"3188","168471-82","168471-82",2018
"3189","168471-82","54206-74",2018
"3190","221629-24","11268-55",2018
"3191","221629-24","221629-24",2018
"3192","221629-24","56560-42",2018
"3193","55329-94","51625-27",2018
"3194","55329-94","55329-94",2018
"3195","11275-75","10364-77",2018
"3196","11275-75","11275-75",2018
"3197","11275-75","14194-54",2018
"3198","11275-75","42460-57",2018
"3199","11333-26","11135-71",2018
"3200","11333-26","11333-26",2018
"3201","11333-26","56380-87",2018
"3202","11108-17","11108-17",2018
"3203","11108-17","51022-00",2018
"3204","181279-45","181279-45",2018
"3205","181279-45","51094-99",2018
"3206","181279-45","52827-67",2018
"3207","11146-42","11146-42",2002
"3208","11146-42","11193-76",2002
"3209","11146-42","11294-92",2002
"3210","11146-42","224498-17",2002
"3211","89936-74","153756-91",2018
"3212","89936-74","181596-52",2018
"3213","89936-74","52317-73",2018
"3214","89936-74","89936-74",2018
"3215","51407-11","110331-10",2018
"3216","51407-11","11166-58",2018
"3217","51407-11","156736-99",2018
"3218","51407-11","51097-51",2018
"3219","51407-11","51407-11",2018
"3220","51577-30","51577-30",2018
"3221","51577-30","55457-02",2018
"3222","51577-30","57425-77",2018
"3223","149516-20","10139-41",2018
"3224","149516-20","149516-20",2018
"3225","149516-20","55469-62",2018
"3226","41716-90","179440-93",2018
"3227","42202-18","179440-93",2018
"3228","41716-90","24981-04",2018
"3229","42202-18","24981-04",2018
"3230","41716-90","41716-90",2018
"3231","42202-18","41716-90",2018
"3232","41716-90","42202-18",2018
"3233","42202-18","42202-18",2018
"3234","41716-90","52984-99",2018
"3235","42202-18","52984-99",2018
"3236","41716-90","61372-27",2018
"3237","42202-18","61372-27",2018
"3238","11317-33","11317-33",2018
"3239","11877-94","11317-33",2018
"3240","11317-33","11877-94",2018
"3241","11877-94","11877-94",2018
"3242","11251-81","11251-81",2018
"3243","11251-81","11253-52",2018
"3244","11251-81","168496-93",2018
"3245","11251-81","51625-90",2018
"3246","64182-25","110937-70",2018
"3247","64182-25","54886-96",2018
"3248","64182-25","57349-27",2018
"3249","64182-25","64182-25",2018
"3250","25915-87","125876-89",2018
"3251","25915-87","25915-87",2018
"3252","118725-85","118725-85",2018
"3253","54726-76","118725-85",2018
"3254","118725-85","50980-60",2018
"3255","54726-76","50980-60",2018
"3256","118725-85","54726-76",2018
"3257","54726-76","54726-76",2018
"3258","163986-31","163986-31",2018
"3259","51639-94","163986-31",2018
"3260","53539-93","163986-31",2018
"3261","163986-31","51639-94",2018
"3262","51639-94","51639-94",2018
"3263","53539-93","51639-94",2018
"3264","163986-31","53539-93",2018
"3265","51639-94","53539-93",2018
"3266","53539-93","53539-93",2018
"3267","11175-13","11175-13",2018
"3268","11175-13","228826-36",2018
"3269","149825-17","149825-17",2018
"3270","149825-17","51639-67",2018
"3271","160439-86","160439-86",2018
"3272","53503-93","160439-86",2018
"3273","160439-86","53503-93",2018
"3274","53503-93","53503-93",2018
"3275","11315-62","11315-62",2018
"3276","11315-62","188109-37",2018
"3277","227478-07","227478-07",2018
"3278","227478-07","56606-86",2018
"3279","227478-07","56610-55",2018
"3280","227478-07","99795-70",2018
"3281","179919-82","179919-82",2018
"3282","179919-82","228851-83",2018
"3283","179919-82","228852-10",2018
"3284","179085-25","11229-04",2018
"3285","221832-10","11229-04",2018
"3286","56697-76","11229-04",2018
"3287","179085-25","11237-68",2018
"3288","221832-10","11237-68",2018
"3289","56697-76","11237-68",2018
"3290","179085-25","179085-25",2018
"3291","221832-10","179085-25",2018
"3292","56697-76","179085-25",2018
"3293","179085-25","179225-47",2018
"3294","221832-10","179225-47",2018
"3295","56697-76","179225-47",2018
"3296","179085-25","221832-10",2018
"3297","221832-10","221832-10",2018
"3298","56697-76","221832-10",2018
"3299","179085-25","56697-76",2018
"3300","221832-10","56697-76",2018
"3301","56697-76","56697-76",2018
"3302","11193-13","110878-48",2018
"3303","11242-54","110878-48",2018
"3304","11193-13","11193-13",2018
"3305","11242-54","11193-13",2018
"3306","11193-13","11229-04",2018
"3307","11242-54","11229-04",2018
"3308","11193-13","11242-54",2018
"3309","11242-54","11242-54",2018
"3310","11193-13","11295-73",2018
"3311","11242-54","11295-73",2018
"3312","11193-13","125084-71",2018
"3313","11242-54","125084-71",2018
"3314","11193-13","155949-67",2018
"3315","11242-54","155949-67",2018
"3316","11193-13","163281-70",2018
"3317","11242-54","163281-70",2018
"3318","11193-13","179440-93",2018
"3319","11242-54","179440-93",2018
"3320","11193-13","181009-27",2018
"3321","11242-54","181009-27",2018
"3322","11193-13","222251-95",2018
"3323","11242-54","222251-95",2018
"3324","11193-13","51001-03",2018
"3325","11242-54","51001-03",2018
"3326","11193-13","56199-52",2018
"3327","11242-54","56199-52",2018
"3328","11193-13","56560-42",2018
"3329","11242-54","56560-42",2018
"3330","166518-73","109674-37",2018
"3331","166518-73","166518-73",2018
"3332","187651-45","183358-27",2018
"3333","187651-45","184121-92",2018
"3334","187651-45","187651-45",2018
"3335","187651-45","50980-51",2018
"3336","56756-71","168190-21",2018
"3337","56756-71","56756-71",2018
"3338","11224-18","11201-59",2018
"3339","11224-18","11224-18",2018
"3340","11224-18","11290-51",2018
"3341","11224-18","228879-10",2018
"3342","11303-02","11237-95",2018
"3343","11303-02","11293-66",2018
"3344","11303-02","11303-02",2018
"3345","11303-02","11320-66",2018
"3346","11303-02","42855-58",2018
"3347","11303-02","51041-26",2018
"3348","11303-02","51249-34",2018
"3349","11215-54","11215-54",2018
"3350","89936-74","11215-54",2018
"3351","11215-54","120542-50",2018
"3352","89936-74","120542-50",2018
"3353","11215-54","89936-74",2018
"3354","89936-74","89936-74",2018
"3355","11142-19","11142-19",2018
"3356","11142-19","62881-93",2018
"3357","228901-42","228901-42",2018
"3358","228901-42","52703-74",2018
"3359","10563-22","10563-22",2018
"3360","62707-51","10563-22",2018
"3361","10563-22","157663-45",2018
"3362","62707-51","157663-45",2018
"3363","10563-22","60630-67",2018
"3364","62707-51","60630-67",2018
"3365","10563-22","62707-51",2018
"3366","62707-51","62707-51",2018
"3367","166187-53","166187-53",2018
"3368","61257-07","166187-53",2018
"3369","166187-53","61257-07",2018
"3370","61257-07","61257-07",2018
"3371","109408-06","109408-06",2018
"3372","109408-06","11184-49",2018
"3373","109408-06","188017-21",2018
