"","lead","non","year"
"200","51311-35","157263-49",2018
"201","53885-26","157263-49",2018
"202","51311-35","51311-35",2018
"203","53885-26","51311-35",2018
"204","51311-35","53885-26",2018
"205","53885-26","53885-26",2018
"206","54083-62","11435-05",2017
"207","54083-62","183793-06",2017
"208","54083-62","52589-98",2017
"209","54083-62","54083-62",2017
"210","54083-62","11435-05",2015
"211","54083-62","52589-98",2015
"212","54083-62","54083-62",2015
"213","11303-11","11237-95",2018
"214","99689-50","11237-95",2018
"215","11303-11","11303-11",2018
"216","99689-50","11303-11",2018
"217","11303-11","99689-50",2018
"218","99689-50","99689-50",2018
"219","11274-04","11193-13",2018
"220","11274-04","11274-04",2018
"221","11274-04","120863-89",2018
"222","11274-04","55481-05",2018
"223","124929-64","124929-64",2018
"224","124929-64","52604-74",2018
"225","124929-64","55891-00",2018
"226","224253-01","224253-01",2018
"227","51322-24","224253-01",2018
"228","224253-01","51322-24",2018
"229","51322-24","51322-24",2018
"230","11191-96","11191-96",2017
"231","11191-96","56351-53",2017
"232","95034-70","223954-30",2017
"233","95034-70","58802-41",2017
"234","95034-70","95034-70",2017
"235","11201-59","11201-59",2017
"236","11201-59","169560-10",2017
"237","11201-59","224266-69",2017
"238","11201-59","55612-00",2017
"239","10123-03","10123-03",2018
"240","11216-98","10123-03",2018
"241","10123-03","11189-44",2018
"242","11216-98","11189-44",2018
"243","10123-03","11216-98",2018
"244","11216-98","11216-98",2018
"245","10123-03","62138-71",2018
"246","11216-98","62138-71",2018
"247","82811-08","165951-19",2018
"248","82811-08","82811-08",2018
"249","11258-83","11258-83",2018
"250","11258-83","11281-06",2018
"251","11258-83","11333-26",2018
"252","51001-57","51001-57",2017
"253","51472-63","51001-57",2017
"254","51001-57","51472-63",2017
"255","51472-63","51472-63",2017
"256","51001-57","54206-74",2017
"257","51472-63","54206-74",2017
"258","11282-77","11282-77",2018
"259","11282-77","51111-37",2018
"260","170053-39","10364-77",2018
"261","170053-39","11157-76",2018
"262","170053-39","11313-82",2018
"263","170053-39","170053-39",2018
"264","170053-39","51189-94",2018
"265","170053-39","59916-43",2018
"266","11132-38","11132-38",2018
"267","11132-38","11282-32",2018
"268","11132-38","11293-66",2018
"269","11132-38","51639-76",2018
"270","11132-38","54482-95",2018
"271","11132-38","55747-99",2018
"272","10134-73","10134-73",2018
"273","10134-73","11203-21",2018
"274","10134-73","115187-23",2018
"275","10134-73","43058-08",2018
"276","10134-73","50980-60",2018
"277","10134-73","53539-93",2018
"278","11196-28","11196-28",2017
"279","11196-28","161559-46",2017
"280","11133-01","11133-01",2018
"281","11133-01","11216-98",2018
"282","11133-01","51595-21",2018
"283","11133-01","52320-25",2018
"284","11133-01","65426-41",2018
"285","11133-01","65426-59",2018
"286","11331-37","11331-37",2018
"287","11331-37","127657-90",2018
"288","11331-37","157664-17",2018
"289","51734-08","11110-06",2017
"290","51734-08","224324-02",2017
"291","51734-08","51734-08",2017
"292","51734-08","60808-87",2017
"293","54588-07","156594-07",2018
"294","54588-07","54588-07",2018
"295","54588-07","56355-94",2018
"296","11133-01","11133-01",2018
