"","Investor_Id","Year","Percent"
"177","100552-51",2017,5000
"178","100552-51",2018,10000
"179","100554-04",2013,10000
"180","100554-04",2014,3333.33333333333
"181","100554-04",2015,1666.66666666667
"182","100554-04",2016,10000
"183","100554-04",2017,10000
"184","100554-04",2018,10000
"185","100564-30",2014,10000
"186","100564-30",2015,10000
"187","100564-30",2016,10000
"188","100575-55",2011,10000
"189","100575-55",2012,10000
"190","100575-55",2013,2000
"191","100575-55",2014,2222.22222222222
"192","100575-55",2015,3750
"193","100575-55",2016,3333.33333333333
"194","100575-55",2017,5000
"195","100582-75",2014,5000
"196","100582-75",2017,5000
"197","100582-93",2012,10000
"198","100582-93",2014,10000
"199","10060-57",1999,10000
"200","10060-57",2000,1875
"201","10060-57",2001,2500
"202","10060-57",2002,10000
"203","10060-57",2003,3333.33333333333
"204","10060-57",2004,1666.66666666667
"205","10060-57",2005,10000
"206","10060-57",2006,5000
"207","10060-57",2007,10000
"208","10060-57",2010,5000
"209","10060-57",2011,10000
"210","10060-57",2012,5000
"211","100624-51",2012,10000
"212","100624-51",2013,2000
"213","100624-51",2014,3437.5
"214","100624-51",2015,1360.94674556213
"215","100624-51",2016,1562.5
"216","100624-51",2017,1005.91715976331
"217","100624-51",2018,2222.22222222222
"218","100638-10",2013,10000
"219","100638-10",2014,5555.55555555555
"220","100644-04",2006,10000
"221","100644-04",2008,10000
"222","100651-51",2013,2000
"223","100651-51",2014,2000
"224","100651-51",2016,1562.5
"225","100651-51",2017,3333.33333333333
"226","100676-62",2015,10000
"227","10068-04",1997,10000
"228","10068-04",1998,3333.33333333333
"229","10068-04",1999,5000
"230","10068-04",2000,2500
"231","10068-04",2001,1239.6694214876
"232","10068-04",2002,1836.73469387755
"233","10068-04",2003,2000
"234","10068-04",2004,1836.73469387755
"235","10068-04",2005,1428.57142857143
"236","10068-04",2006,2000
"237","10068-04",2007,1239.6694214876
"238","10068-04",2008,1428.57142857143
"239","10068-04",2009,1604.93827160494
"240","10068-04",2010,1562.5
"241","10068-04",2011,1666.66666666667
"242","10068-04",2012,2500
"243","10068-04",2013,1428.57142857143
"244","10068-04",2014,5000
"245","10068-04",2015,5000
"246","10068-04",2016,10000
"247","100690-93",2011,10000
"248","100690-93",2013,5000
"249","100690-93",2014,3333.33333333333
"250","100690-93",2015,5000
"251","100690-93",2016,1666.66666666667
"252","100690-93",2017,10000
"253","100693-27",2015,10000
"254","10070-83",1993,10000
"255","10070-83",1994,2000
"256","10070-83",1995,2500
"257","10070-83",1996,2500
"258","10070-83",1997,1400
"259","10070-83",1998,887.573964497041
"260","10070-83",1999,833.333333333333
"261","10070-83",2000,803.324099722991
"262","10070-83",2001,933.333333333333
"263","10070-83",2002,800
"264","10070-83",2003,864.197530864197
"265","10070-83",2004,917.159763313609
"266","10070-83",2005,677.764565992866
"267","10070-83",2006,433.979686057248
"268","10070-83",2007,468.75
"269","10070-83",2008,526.859504132231
"270","10070-83",2009,624
"271","10070-83",2010,560
"272","10070-83",2011,793.650793650794
"273","10070-83",2012,562.130177514793
"274","10070-83",2013,572.320499479709
"275","10070-83",2014,750
"276","10070-83",2015,1388.88888888889
"277","10070-83",2016,1836.73469387755
"278","10070-83",2017,1428.57142857143
"279","10070-83",2018,5000
"280","100748-62",2014,10000
"281","100761-31",1998,10000
"282","100761-31",2002,10000
"283","100761-31",2006,10000
"284","100761-31",2010,5000
"285","100761-31",2012,10000
"286","10077-85",1990,10000
"287","10077-85",1994,10000
"288","10077-85",1996,10000
"289","10077-85",1998,10000
"290","10077-85",1999,5000
"291","10077-85",2000,2187.5
"292","10077-85",2001,2000
"293","10077-85",2002,2777.77777777778
"294","10077-85",2003,1570.2479338843
"295","10077-85",2004,1020.40816326531
"296","10077-85",2005,795.847750865052
"297","10077-85",2006,1111.11111111111
"298","10077-85",2007,765.30612244898
"299","10077-85",2008,737.240075614367
"300","10077-85",2009,692.520775623269
"301","10077-85",2010,1466.66666666667
"302","10077-85",2011,1718.75
"303","10077-85",2012,1562.5
"304","10077-85",2013,2177.77777777778
"305","10077-85",2014,1074.38016528926
"306","10077-85",2015,2244.89795918367
"307","10077-85",2016,5000
"308","10077-85",2017,3750
"309","100778-23",2014,10000
"310","100778-23",2015,1400
"311","100778-23",2016,2839.50617283951
"312","100778-23",2017,937.5
"313","100778-23",2018,2500
"314","100823-50",2011,10000
"315","100823-50",2013,3333.33333333333
"316","100823-50",2014,10000
"317","100823-50",2016,10000
"318","100823-50",2017,5000
"319","100873-54",2013,10000
"320","100873-54",2014,10000
"321","100881-19",2013,10000
"322","100881-19",2014,2000
"323","100881-19",2015,1200
"324","100881-19",2016,5000
"325","100881-19",2017,3333.33333333333
"326","100927-99",2016,5000
"327","100927-99",2017,10000
"328","100942-12",2014,10000
"329","100942-12",2015,5000
"330","10095-31",2000,10000
"331","10095-31",2002,2500
"332","10095-31",2003,2500
"333","10095-31",2004,2500
"334","10095-31",2008,5555.55555555555
"335","10095-31",2009,10000
"336","10095-31",2010,10000
"337","10095-31",2017,10000
"338","10102-42",2004,3333.33333333333
"339","10102-42",2005,10000
"340","10102-42",2007,5000
"341","101026-72",2015,10000
"342","101026-72",2016,5000
"343","101026-72",2017,3333.33333333333
"344","10103-41",2000,10000
"345","10103-41",2005,10000
"346","10103-41",2007,10000
"347","101074-96",2013,10000
"348","101074-96",2014,2500
"349","101074-96",2015,1428.57142857143
"350","101074-96",2016,5000
"351","101074-96",2017,3333.33333333333
"352","101074-96",2018,5555.55555555555
"353","10109-26",1998,10000
"354","10109-26",1999,1836.73469387755
"355","10109-26",2000,1200
"356","10109-26",2001,1836.73469387755
"357","10109-26",2002,1428.57142857143
"358","10109-26",2003,1527.77777777778
"359","10109-26",2004,740.740740740741
"360","10109-26",2005,714.285714285714
"361","10109-26",2006,493.827160493827
"362","10109-26",2007,527.34375
"363","10109-26",2008,700
"364","10109-26",2009,1111.11111111111
"365","10109-26",2010,867.768595041322
"366","10109-26",2011,586.011342155009
"367","10109-26",2012,657.596371882086
"368","10109-26",2013,1400
"369","10109-26",2014,2222.22222222222
"370","10109-26",2015,2000
"371","10109-26",2016,5000
"372","101160-82",2015,10000
"373","101160-82",2016,10000
"374","101160-82",2017,10000
"375","101160-82",2018,5000
"376","101177-47",2014,5000
"377","101177-47",2015,5000
"378","101177-47",2016,10000
"379","10123-03",2000,5555.55555555555
"380","10123-03",2001,5000
"381","10123-03",2002,2000
"382","10123-03",2003,1200
"383","10123-03",2004,1200
"384","10123-03",2005,1450
"385","10123-03",2006,772.889417360285
"386","10123-03",2007,1083.67626886145
"387","10123-03",2008,657.439446366782
"388","10123-03",2009,929.705215419501
"389","10123-03",2010,630.202140309156
"390","10123-03",2011,744.037023851905
"391","10123-03",2012,546.967895362664
"392","10123-03",2013,541.323234573402
"393","10123-03",2014,768.455530360292
"394","10123-03",2015,709.342560553633
"395","10123-03",2016,548.469387755102
"396","10123-03",2017,749.798441279226
"397","10123-03",2018,790.816326530612
"398","101274-94",2014,5000
"399","101274-94",2015,10000
"400","101274-94",2016,3750
"401","101274-94",2017,3333.33333333333
"402","101275-48",2011,10000
"403","101275-48",2012,5000
"404","101275-48",2013,5000
"405","101275-48",2015,10000
"406","101275-48",2016,10000
"407","101275-48",2017,5000
"408","101329-57",2014,6250
"409","101329-57",2015,2500
"410","101329-57",2016,5000
"411","101329-57",2017,10000
"412","10133-20",1995,10000
"413","10133-20",1996,10000
"414","10133-20",1997,5000
"415","10133-20",1998,1666.66666666667
"416","10133-20",1999,2244.89795918367
"417","10133-20",2000,972.222222222222
"418","10133-20",2001,1428.57142857143
"419","10133-20",2002,909.090909090909
"420","10133-20",2003,933.333333333333
"421","10133-20",2004,859.375
"422","10133-20",2005,802.469135802469
"423","10133-20",2006,619.834710743802
"424","10133-20",2007,976
"425","10133-20",2008,891.79548156956
"426","10133-20",2009,828.402366863905
"427","10133-20",2010,595.918367346939
"428","10133-20",2011,885.416666666667
"429","10133-20",2012,521.541950113379
"430","10133-20",2013,628.571428571429
"431","10133-20",2014,765.30612244898
"432","10133-20",2015,637.755102040816
"433","10133-20",2016,917.15976331361
"434","10133-20",2017,863.683662851197
"435","10133-20",2018,2200
"436","10134-73",1990,10000
"437","10134-73",1991,10000
"438","10134-73",1992,10000
"439","10134-73",1993,5000
"440","10134-73",1995,5000
"441","10134-73",1996,1666.66666666667
"442","10134-73",1997,2800
"443","10134-73",1998,2800
"444","10134-73",1999,1200
"445","10134-73",2000,802.469135802469
"446","10134-73",2001,1020.40816326531
"447","10134-73",2002,1093.75
"448","10134-73",2003,657.596371882086
"449","10134-73",2004,1015.625
"450","10134-73",2005,655.567117585848
"451","10134-73",2006,637.755102040816
"452","10134-73",2007,399.408284023669
"453","10134-73",2008,493.827160493827
"454","10134-73",2009,484.764542936288
"455","10134-73",2010,491.493383742911
"456","10134-73",2011,416.518333926664
"457","10134-73",2012,529.651425984608
"458","10134-73",2013,582.010582010582
"459","10134-73",2014,644.897959183673
"460","10134-73",2015,871.137409598948
"461","10134-73",2016,725.308641975309
"462","10134-73",2017,648.934465630508
"463","10134-73",2018,1213.01775147929
"464","10135-81",1994,10000
"465","10135-81",1995,10000
"466","10135-81",1996,10000
"467","10135-81",1997,10000
"468","10135-81",1998,10000
"469","10135-81",1999,2222.22222222222
"470","10135-81",2000,2500
"471","10135-81",2001,1604.93827160494
"472","10135-81",2002,2244.89795918367
"473","10135-81",2003,2000
"474","10135-81",2004,1250
"475","10135-81",2005,714.285714285714
"476","10135-81",2006,1200
"477","10135-81",2007,918.367346938775
"478","10135-81",2008,619.834710743802
"479","10135-81",2009,816.326530612245
"480","10135-81",2010,865.051903114187
"481","10135-81",2011,1900.82644628099
"482","10135-81",2012,925.925925925926
"483","10135-81",2013,1200
"484","10135-81",2014,2244.89795918367
"485","10135-81",2015,2187.5
"486","10135-81",2016,1171.875
"487","10135-81",2017,1715.97633136095
"488","10135-81",2018,5000
"489","101363-86",2011,10000
"490","101363-86",2012,10000
"491","101363-86",2013,5000
"492","101363-86",2014,2800
"493","101363-86",2015,1111.11111111111
"494","101363-86",2016,10000
"495","101389-42",2014,10000
"496","101389-42",2015,2500
"497","101389-42",2016,10000
"498","101389-42",2017,10000
"499","10139-41",1991,10000
"500","10139-41",1993,10000
"501","10139-41",1994,3333.33333333333
"502","10139-41",1995,10000
"503","10139-41",1996,5000
"504","10139-41",1997,1200
"505","10139-41",1998,1358.02469135802
"506","10139-41",1999,865.051903114187
"507","10139-41",2000,976
"508","10139-41",2001,1479.2899408284
"509","10139-41",2002,802.469135802469
"510","10139-41",2003,739.795918367347
"511","10139-41",2004,743.944636678201
"512","10139-41",2005,661.157024793388
"513","10139-41",2006,561.224489795918
"514","10139-41",2007,511.341791618608
"515","10139-41",2008,438.054286482128
"516","10139-41",2009,606.508875739645
"517","10139-41",2010,394.762943860345
"518","10139-41",2011,765.397923875432
"519","10139-41",2012,597.732426303855
"520","10139-41",2013,554.899645808737
"521","10139-41",2014,586.82296447991
"522","10139-41",2015,575.851936318583
"523","10139-41",2016,662
"524","10139-41",2017,688.846880907372
"525","10139-41",2018,925.925925925926
"526","101405-89",2014,3333.33333333333
"527","101405-89",2015,10000
"528","101405-89",2016,10000
"529","10146-16",1996,5555.55555555555
"530","10146-16",1997,1836.73469387755
"531","10146-16",1998,2000
"532","10146-16",1999,1836.73469387755
"533","10146-16",2000,937.5
"534","10146-16",2001,1626.29757785467
"535","10146-16",2002,740.740740740741
"536","10146-16",2003,1296
"537","10146-16",2004,644.53125
"538","10146-16",2005,714.285714285714
"539","10146-16",2006,448.166591217746
"540","10146-16",2007,623.268698060942
"541","10146-16",2008,666.666666666667
"542","10146-16",2009,463.733650416171
"543","10146-16",2010,780.532598714417
"544","10146-16",2011,699.588477366255
"545","10146-16",2012,502.958579881657
"546","10146-16",2013,839.002267573696
"547","10146-16",2014,969.529085872576
"548","10146-16",2015,2800
"549","10146-16",2016,1851.85185185185
"550","10146-16",2017,5000
"551","101541-52",2017,3333.33333333333
"552","10155-07",2003,10000
"553","10155-07",2004,10000
"554","10155-07",2005,10000
"555","10155-07",2012,10000
"556","10156-69",2000,10000
"557","10156-69",2001,10000
"558","10156-69",2002,10000
"559","10156-69",2003,1428.57142857143
"560","10156-69",2004,2222.22222222222
"561","10156-69",2005,1250
"562","10156-69",2006,1111.11111111111
"563","10156-69",2007,1020.40816326531
"564","10156-69",2008,1404.95867768595
"565","10156-69",2009,1428.57142857143
"566","10156-69",2010,1111.11111111111
"567","10156-69",2011,1141.86851211073
"568","10156-69",2012,2187.5
"569","10156-69",2013,1604.93827160494
"570","10156-69",2014,2244.89795918367
"571","10156-69",2015,3333.33333333333
"572","10156-69",2016,3200
"573","10156-69",2017,2561.98347107438
"574","10156-69",2018,3061.22448979592
"575","101617-84",2012,2500
"576","101617-84",2015,2800
"577","101617-84",2016,3333.33333333333
"578","101626-39",2010,10000
"579","101626-39",2013,10000
"580","101626-39",2014,3333.33333333333
"581","101626-39",2015,1851.85185185185
"582","101626-39",2016,10000
"583","101626-39",2017,10000
"584","101626-39",2018,10000
"585","101659-42",2014,6800
"586","101663-74",2015,5000
"587","101663-74",2016,10000
"588","101663-74",2017,10000
"589","101670-94",2014,2500
"590","101670-94",2015,3333.33333333333
"591","101717-38",2014,5000
"592","101717-38",2015,10000
"593","101748-16",2014,10000
"594","101748-16",2015,10000
"595","101748-16",2016,5000
"596","101748-16",2017,3750
"597","101748-16",2018,5000
"598","10181-17",1992,10000
"599","10181-17",1994,10000
"600","10181-17",1995,10000
"601","10181-17",1997,5000
"602","10181-17",1998,2500
"603","10181-17",1999,1600
"604","10181-17",2000,1851.85185185185
"605","10181-17",2001,2222.22222222222
"606","10181-17",2002,859.375
"607","10181-17",2003,1337.86848072562
"608","10181-17",2004,650.887573964497
"609","10181-17",2005,625
"610","10181-17",2006,955.102040816327
"611","10181-17",2007,644.53125
"612","10181-17",2008,653.983353151011
"613","10181-17",2009,1040
"614","10181-17",2010,858.725761772853
"615","10181-17",2011,867.768595041322
"616","10181-17",2012,902.777777777778
"617","10181-17",2013,812.854442344045
"618","10181-17",2014,1597.63313609467
"619","10181-17",2015,1479.2899408284
"620","10181-17",2016,2800
"621","10181-17",2017,2777.77777777778
"622","101817-01",2014,10000
"623","101855-08",2012,10000
"624","101903-14",2012,10000
"625","101903-14",2013,10000
"626","101903-14",2014,5000
"627","101903-14",2015,3333.33333333333
"628","101903-14",2016,1836.73469387755
"629","101903-14",2017,2244.89795918367
"630","101903-14",2018,5000
"631","101908-00",2012,5000
"632","101908-00",2015,10000
"633","101913-94",2008,10000
"634","101913-94",2012,10000
"635","101913-94",2013,3333.33333333333
"636","101913-94",2014,3333.33333333333
"637","101913-94",2015,5000
"638","101913-94",2016,5000
"639","101913-94",2017,10000
"640","101913-94",2018,10000
"641","101921-50",2012,10000
"642","101921-50",2013,10000
"643","101921-50",2014,10000
"644","101921-50",2015,2000
"645","101921-50",2016,2500
"646","101921-50",2017,10000
"647","10193-41",2001,5000
"648","10193-41",2007,10000
"649","10195-75",1994,10000
"650","10195-75",1996,10000
"651","10195-75",1997,10000
"652","10195-75",1999,2500
"653","10195-75",2000,2000
"654","10195-75",2001,2000
"655","10195-75",2002,1122.44897959184
"656","10195-75",2003,1239.6694214876
"657","10195-75",2004,1428.57142857143
"658","10195-75",2005,1288.88888888889
"659","10195-75",2006,755.555555555556
"660","10195-75",2007,622.837370242215
"661","10195-75",2008,858.725761772853
"662","10195-75",2009,3750
"663","10195-75",2010,1005.91715976331
"664","10195-75",2011,934.256055363322
"665","10195-75",2012,934.256055363322
"666","10195-75",2013,1050
"667","10195-75",2014,1020.40816326531
"668","10195-75",2015,2222.22222222222
"669","10195-75",2016,10000
"670","10195-75",2017,2000
"671","10195-75",2018,10000
"672","102115-90",2011,10000
"673","102115-90",2015,10000
"674","102115-90",2017,5000
"675","10215-55",2000,10000
"676","10215-55",2001,10000
"677","10215-55",2002,5000
"678","10215-55",2003,10000
"679","10215-55",2004,5000
"680","10215-64",1998,10000
"681","10215-64",2000,10000
"682","10215-64",2001,1666.66666666667
"683","10215-64",2002,1836.73469387755
"684","10215-64",2003,1836.73469387755
"685","10215-64",2004,2653.0612244898
"686","10215-64",2005,5000
"687","10215-64",2006,2345.67901234568
"688","10215-64",2007,2244.89795918367
"689","10215-64",2008,1242.60355029586
"690","10215-64",2009,3750
"691","10215-64",2010,2800
"692","10215-64",2011,1836.73469387755
"693","10215-64",2012,2653.0612244898
"694","10215-64",2013,2222.22222222222
"695","10215-64",2014,1666.66666666667
