Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,10,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,NaN
Scenario1,1,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,2,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,3,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,4,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,5,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,6,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,7,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,8,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,9,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,10,DefaultEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,0
Scenario1,1,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,2,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,3,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,4,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,5,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,6,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,7,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,8,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,9,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,10,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,NaN
Scenario1,1,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,2,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,3,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,4,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,5,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,6,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,7,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,8,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,9,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,10,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,NaN
Scenario1,1,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,2,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,3,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,4,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,5,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,6,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,7,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,8,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,9,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,10,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,NaN
Scenario1,1,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,2,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,3,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,4,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,5,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,6,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,7,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,8,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,9,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,10,DefaultEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,0
Scenario1,1,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,2,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,3,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,4,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,5,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,6,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,7,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,8,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,9,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,10,DefaultEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,0
Scenario1,1,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,2,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,3,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,4,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,5,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,6,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,7,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,8,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,9,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,10,DefaultEntity,DefaultEntity,[Population],Throughput,NumberDestroyed,Total,0
Scenario1,1,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4201.29958115486
Scenario1,2,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4226.70701137634
Scenario1,3,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4143.76815899695
Scenario1,4,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4170.46413794928
Scenario1,5,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4209.03472619599
Scenario1,6,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4160.74809657975
Scenario1,7,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4224.12149237809
Scenario1,8,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4066.08987292604
Scenario1,9,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4068.90196402314
Scenario1,10,DefaultEntity,Person,[Population],Content,NumberInSystem,Average,4276.40951425749
Scenario1,1,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8358
Scenario1,2,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8354
Scenario1,3,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8368
Scenario1,4,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8413
Scenario1,5,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8371
Scenario1,6,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8225
Scenario1,7,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8370
Scenario1,8,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8207
Scenario1,9,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8254
Scenario1,10,DefaultEntity,Person,[Population],Content,NumberInSystem,Maximum,8467
Scenario1,1,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,2,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,3,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,4,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
Scenario1,5,DefaultEntity,Person,[Population],Content,NumberInSystem,Minimum,0
