"","x"
"1874",98009919
"1875",98069818
"1876",98109678
"1877",98209937
"1878",98229906
"1879",98329589
"1880",98339767
"1881",98359997
"1882",98469775
"1883",98489918
"1884",98559941
"1885",98589822
"1886",98589856
"1887",98629946
"1888",98639950
"1889",98739821
"1890",98749990
"1891",98769830
"1892",98869928
"1893",98929872
"1894",98969769
"1895",98969898
"1896",98989825
"1897",99049994
"1898",99069531
"1899",99079795
"1900",99139727
"1901",99149833
"1902",99199851
"1903",99269913
"1904",99279881
"1905",99309885
"1906",99319577
"1907",99349973
"1908",99399883
"1909",99409962
"1910",99409972
"1911",99439891
"1912",99549946
"1913",99689865
"1914",99699822
"1915",99829865
"1916",99829929
"1917",99869771
"1918",99869816
"1919",99929945
"1920",99969769
"1921",99989975
