"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Store_Display","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2015-12-27,138936953,5601.346939,"0",1,14.99,2,3,0,1,19444,0,0,0,0,14.99,1.20445745354848,0,1.55605295190809,0.308258334276802,0,0,0,0.17078199384746,0,0
2016-01-03,138936953,5435.05102,"0",0,14.99,0,7,0,0,47733,0,0,0,0,14.99,5.98084215830586,1.17195031154579e-14,0,0,0,0,0,1.01915784169412,0,0
2016-01-10,138936953,5335.27551,"0",0,14.99,0,3,0,0,29342,0,0,0,0,14.99,2.7223571114922,0,0,0,0,0,0,0.2776428885078,0,0
2016-01-17,138936953,5262.316327,"0",0,14.99,0,8,0,0,31367,0,0,0,0,14.99,7.21014148772409,0,0,0,0,0,0,0.789858512275906,0,0
2016-01-24,138936953,5252.102041,"0",0,14.99,0,3,0,0,24650,0,0,0,0,14.99,2.76447605473318,0,0,0,0,0,0,0.235523945266818,0,0
2016-01-31,138936953,5327.520408,"0",0,14.99,0,9,0,0,3288,0,0,0,0,14.99,8.90233440950329,0,0,0,0,0,0,0.0976655904967085,0,0
2016-02-07,138936953,5516.459184,"1",0,14.99,2,9,0,0,17507,0,0,0,0,14.99,4.07695980838881,0,4.68231652780978,0,0,0,0,0.465203430216393,0,0
2016-02-14,138936953,5686.591837,"0",0,14.99,0,4,0,0,23529,0,0,0,0,14.99,3.7023890736889,0,0,0,0,0,0,0.297610926311099,0,0
2016-02-21,138936953,5867.561224,"0",0,14.99,0,10,0,0,36556,0,0,0,0,14.99,8.8744254954034,0,0,0,0,0,0,1.1255745045966,0,0
2016-02-28,138936953,6017.255102,"0",0,14.99,0,3,0,0,1660,0,0,0,0,14.99,2.9837716407273,0,0,0,0,0,0,0.0162283592726987,0,0
2016-03-06,138936953,6209.806122,"0",0,14.99,0,7,0,0,22561,0,0,0,0,14.99,6.50623987976991,0,0,0,0,0,0,0.493760120230093,0,0
2016-03-13,138936953,6429.489796,"0",0,14.99,0,7,0,0,3769,0,0,0,0,14.99,6.91530446390853,0,0,0,0,0,0,0.0846955360914648,0,0
