Name,Rank,Count,X..100K,X..White,X..Black,X..API,X..AIAN,X..2.or.More.Races,X..Hispanic.Origin,Rank.in.2000,Count.in.2000,Change.since.2000,X..Change,Rank.change,Cumulative.proportion...100.000,race
ADKISSON,10739,2972,1.01,85.13,9.76,0.47,0.81,2.59,1.24,10172,2911,61,2.1%,-567,,white
ADLER,2223,16412,5.56,94.9,0.57,0.71,0.15,1.06,2.61,2041,16305,107,0.7%,-182,,white
ADLEY,37735,589,0.2,67.06,23.26,,6.79,(S),1.36,32703,662,-73,-11.0%,-5032,,white
ADMIRE,23725,1067,0.36,93.81,,,1.22,1.69,2.53,22322,1077,-10,-0.9%,-1403,,white
ADNAN,40745,536,0.18,16.79,2.61,73.69,,5.78,,88083,196,340,173.5%,47338,,asian
ADNEY,30509,765,0.26,87.19,2.09,,4.84,(S),3.53,29840,743,22,3.0%,-669,,white
ADOLF,28704,830,0.28,92.17,2.29,1.33,,(S),2.77,28256,797,33,4.1%,-448,,white
ADOLPH,15600,1874,0.64,78.07,12.43,1.07,4,2.13,2.29,14612,1868,6,0.3%,-988,,white
ADOLPHE,40082,547,0.19,7.86,85.74,0,0,3.84,2.56,51809,377,170,45.1%,11727,,black
ADOLPHSON,32676,703,0.24,96.02,,,,1.56,1.14,29142,766,-63,-8.2%,-3534,,white
ADORNO,8686,3783,1.28,13.8,1.32,,,0.19,84.51,9410,3171,612,19.3%,724,,hispanic
ADRAGNA,26671,913,0.31,92.55,,,,(S),6.46,27475,826,87,10.5%,804,,white
ADRIAN,6201,5514,1.87,76.04,3.43,1.54,0.63,1.83,16.52,6036,5244,270,5.1%,-165,,white
ADRIANCE,43651,494,0.17,96.96,0,0,0,1.01,2.02,41722,491,3,0.6%,-1929,,white
ADRIEN,34801,649,0.22,18.8,75.35,,,1.69,4.01,48380,410,239,58.3%,13579,,black
ADSIT,24222,1036,0.35,95.08,,,,1.45,2.61,22706,1056,-20,-1.9%,-1516,,white
ADU,28940,821,0.28,1.34,94.28,,,2.31,0.97,51945,376,445,118.4%,23005,,black
ADVANI,33894,671,0.23,7.75,,84.65,,4.77,2.09,39499,524,147,28.1%,5605,,asian
ADVINCULA,32203,716,0.24,4.05,0,77.65,0,6.01,12.29,38992,532,184,34.6%,6789,,asian
ADWELL,42937,504,0.17,93.45,,,1.39,1.19,3.77,39756,520,-16,-3.1%,-3181,,white
ADY,33241,688,0.23,83.58,6.69,1.02,1.74,3.78,3.2,35522,599,89,14.9%,2281,,white
AERTS,40909,533,0.18,87.8,,0.94,,1.69,8.44,41522,494,39,7.9%,613,,white
AESCHLIMAN,26126,937,0.32,96.37,,0.53,,0.75,1.81,25591,906,31,3.4%,-535,,white
AFANADOR,29279,808,0.27,8.42,0.99,0.62,,(S),89.85,33563,641,167,26.1%,4284,,hispanic
AFFELDT,33036,693,0.23,96.54,,,,1.3,1.3,34259,626,67,10.7%,1223,,white
AFFINITO,46758,428,0.16,98.13,0,,,(S),,,,,"",,82109.57,white
AFFLECK,31184,744,0.25,93.28,1.48,1.48,0,1.88,1.88,32302,672,72,10.7%,1118,,white
AFFOLTER,30735,758,0.26,96.44,,,0,1.32,1.85,32227,674,84,12.5%,1492,,white
AFOLABI,37792,588,0.2,,97.62,,0,1.36,,65133,285,303,106.3%,27341,,black
AFONSO,21260,1233,0.42,78.75,5.84,3.41,,(S),9.73,22481,1068,165,15.4%,1221,,white
AFRIDI,43969,490,0.17,9.39,,75.51,,13.06,1.63,63812,292,198,67.8%,19843,,asian
AFSHAR,23675,1070,0.36,76.17,,3.18,,17.48,2.9,27028,843,227,26.9%,3353,,white
AFTAB,43732,493,0.17,8.72,,82.96,,6.49,1.62,62775,298,195,65.4%,19043,,asian
AFZAL,17319,1634,0.55,9.42,2.82,80.05,0.31,6.61,0.8,25221,922,712,77.2%,7902,,asian
AGAN,12812,2407,0.82,87.79,0.96,5.53,0.37,2.08,3.28,12778,2216,191,8.6%,-34,,white
AGANS,46523,431,0.16,95.59,1.39,,,(S),1.86,,,,"",,82072.11,white
AGAR,22404,1149,0.39,86.34,3.92,4.53,,(S),2.79,22212,1084,65,6.0%,-192,,white
AGARWAL,6285,5436,1.84,2.76,0.15,94.35,0.37,2.08,0.29,11523,2504,2932,117.1%,5238,,asian
AGBAYANI,23251,1096,0.37,3.47,,81.3,,10.77,4.2,27562,823,273,33.2%,4311,,asian
AGCAOILI,24718,1009,0.34,2.68,,82.36,,8.23,6.34,31658,690,319,46.2%,6940,,asian
AGEE,3304,10857,3.68,68.96,25.85,0.42,0.43,2.49,1.84,3126,10595,262,2.5%,-178,,white
AGENT,33941,670,0.23,72.24,23.73,,,1.34,2.09,31884,684,-14,-2.0%,-2057,,white
AGER,18703,1469,0.5,83.19,11.37,1.23,0.34,1.29,2.59,18077,1422,47,3.3%,-626,,white
AGERTON,49767,396,0.15,96.72,,,,(S),,,,,"",,82569.22,white
AGGARWAL,12429,2500,0.85,3.24,,94.32,,1.48,0.6,18634,1363,1137,83.4%,6205,,asian
AGIN,23978,1052,0.36,89.07,2.76,,,1.71,4.56,22505,1067,-15,-1.4%,-1473,,white
AGIUS,41959,518,0.18,93.63,,,0,1.54,3.47,39824,519,-1,-0.2%,-2135,,white
AGLER,30946,751,0.25,94.67,,1.07,,1.6,2,27344,831,-80,-9.6%,-3602,,white
AGNE,35447,635,0.22,80.79,5.35,7.09,,3.94,,35621,597,38,6.4%,174,,white
AGNELLO,17958,1556,0.53,94.79,0.32,0.71,0.39,0.64,3.15,16635,1586,-30,-1.9%,-1323,,white
AGNER,25751,957,0.32,94.25,1.57,1.57,,1.36,,24763,944,13,1.4%,-988,,white
AGNES,30889,753,0.26,68.39,10.09,13.41,3.05,1.46,3.59,29359,759,-6,-0.8%,-1530,,white
AGNEW,3602,9856,3.34,68.08,26.36,0.55,0.34,2.4,2.26,3398,9644,212,2.2%,-204,,white
AGOSTA,21686,1201,0.41,88.18,,0.58,,0.58,10.24,19313,1298,-97,-7.5%,-2373,,white
AGOSTINELLI,25865,951,0.32,95.06,0.84,,,(S),3.79,24807,942,9,1.0%,-1058,,white
AGOSTINO,24012,1050,0.36,92.86,1.9,,,0.67,4.1,18263,1402,-352,-25.1%,-5749,,white
AGOSTO,6103,5619,1.9,10.7,1.9,0.85,,(S),86.23,6860,4519,1100,24.3%,757,,hispanic
AGRAMONTE,25381,975,0.33,8.62,1.64,,,0,89.33,30682,717,258,36.0%,5301,,hispanic
AGRAWAL,9701,3344,1.13,1.94,0.18,94.83,0.39,2.09,0.57,15369,1753,1591,90.8%,5668,,asian
AGREDA,37735,589,0.2,5.94,,3.23,,(S),90.15,57849,329,260,79.0%,20114,,hispanic
AGREDANO,23899,1056,0.36,3.22,,,,0,96.21,30716,716,340,47.5%,6817,,hispanic
AGRESTA,29231,810,0.27,96.17,,,,0.74,2.47,27413,828,-18,-2.2%,-1818,,white
AGRESTI,40494,540,0.18,95,0,,,1.3,2.78,39444,525,15,2.9%,-1050,,white
AGRO,41886,519,0.18,96.53,0,,0,(S),2.89,41382,496,23,4.6%,-504,,white
AGRON,42163,515,0.17,25.24,,3.3,,0.97,69.71,38263,544,-29,-5.3%,-3900,,hispanic
AGUADO,12953,2371,0.8,9.91,0.38,3.71,,(S),85.58,16160,1645,726,44.1%,3207,,hispanic
AGUALLO,47939,415,0.15,6.75,0,0,,(S),91.81,,,,"",,82294.29,hispanic
AGUAS,18950,1440,0.49,5.76,,25.9,,1.53,66.67,23884,987,453,45.9%,4934,,hispanic
AGUAYO,2799,12876,4.37,4.09,0.19,0.29,0.25,0.14,95.05,3321,9878,2998,30.4%,522,,hispanic
AGUDELO,11933,2622,0.89,5.3,0.23,2.1,0,0.19,92.18,14503,1884,738,39.2%,2570,,hispanic
AGUDO,26492,921,0.31,4.78,,18.46,,0.54,75.68,33605,640,281,43.9%,7113,,hispanic
AGUERO,5437,6402,2.17,6.94,0.17,1.11,0.86,0.39,90.53,6546,4776,1626,34.0%,1109,,hispanic
AGUILA,5683,6103,2.07,7.95,0.39,12.03,0.26,1.18,78.19,7122,4326,1777,41.1%,1439,,hispanic
AGUILAR,134,186512,63.23,4.03,0.26,1.64,0.52,0.23,93.32,213,126399,60113,47.6%,79,,hispanic
AGUILERA,1109,31581,10.71,4.28,0.3,0.54,0.13,0.18,94.57,1519,21685,9896,45.6%,410,,hispanic
AGUILLAR,30600,762,0.26,2.89,0.92,0.66,,(S),95.14,40908,503,259,51.5%,10308,,hispanic
AGUILLARD,23576,1077,0.37,68.62,24.7,1.02,0,1.58,4.09,23568,1004,73,7.3%,-8,,white
AGUILLON,10453,3076,1.04,4.32,0.26,2.99,0,0.49,91.94,13220,2118,958,45.2%,2767,,hispanic
AGUILUZ,37792,588,0.2,4.76,,10.71,,(S),83.33,51024,384,204,53.1%,13232,,hispanic
AGUINAGA,6961,4818,1.63,5.46,0.17,0.27,0.15,0.15,93.81,8868,3395,1423,41.9%,1907,,hispanic
AGUINALDO,19688,1369,0.46,4.24,,81.96,,6.14,7.45,21620,1124,245,21.8%,1932,,asian
AGUINIGA,25272,980,0.33,5.71,,0,,0,93.78,27289,833,147,17.6%,2017,,hispanic
AGUINO,48776,406,0.15,5.42,,7.14,12.56,(S),71.67,,,,"",,82421.75,hispanic
AGUIRRE,401,79517,26.96,5.1,0.25,1.25,0.2,0.25,92.94,508,58918,20599,35.0%,107,,hispanic
AGUNDEZ,34272,662,0.22,6.19,0,,,(S),92.6,38833,535,127,23.7%,4561,,hispanic
AGYEMAN,33695,676,0.23,1.18,95.71,,,1.63,1.18,49249,401,275,68.6%,15554,,black
AGYEMAN,49249,401,0.15,,93.77,,0,3.99,,,,,"",,82492.74,black
AGYEMANG,24466,1023,0.35,0.78,97.46,,,0.59,1.08,43875,463,560,121.0%,19409,,black
AHAMED,39887,550,0.19,5.82,10.73,76.18,,3.64,,51233,382,168,44.0%,11346,,asian
AHART,19200,1414,0.48,85.22,9.34,,,1.34,3.54,18239,1405,9,0.6%,-961,,white
AHEARN,7211,4628,1.57,94.14,0.35,0.82,0.13,1.69,2.87,6804,4564,64,1.4%,-407,,white
AHERN,4322,8221,2.79,95.56,0.34,0.75,0.11,1.01,2.23,4065,8046,175,2.2%,-257,,white
AHL,18018,1549,0.53,94.51,1.29,1.36,0.52,1.16,1.16,16925,1551,-2,-0.1%,-1093,,white
AHLBERG,23300,1093,0.37,95.52,,0.46,,0.73,2.93,22039,1096,-3,-0.3%,-1261,,white
AHLBORN,36154,620,0.21,95.97,,,1.29,1.13,1.29,34503,621,-1,-0.2%,-1651,,white
AHLERS,11146,2841,0.96,95.42,0.28,0.49,0.49,1.37,1.94,10703,2740,101,3.7%,-443,,white
AHLES,30735,758,0.26,92.74,,,0.79,2.24,3.43,27313,832,-74,-8.9%,-3422,,white
AHLGREN,23354,1090,0.37,95.41,,0.64,,1.38,2.2,23207,1026,64,6.2%,-147,,white
AHLGRIM,40909,533,0.18,96.62,,,,0.94,1.5,42289,483,50,10.4%,1380,,white
AHLIN,48293,411,0.15,94.4,,1.95,0,(S),2.92,,,,"",,82348.7,white
AHLMAN,43438,497,0.17,94.16,,,,1.21,3.02,39678,521,-24,-4.6%,-3760,,white
AHLQUIST,22113,1170,0.4,97.18,,,,1.28,1.03,21438,1137,33,2.9%,-675,,white
AHLSTROM,16273,1772,0.6,94.58,,0.9,,1.24,3.05,15870,1683,89,5.3%,-403,,white
AHLUWALIA,21868,1188,0.4,5.05,,88.72,,4.88,1.09,26056,884,304,34.4%,4188,,asian
AHMANN,35395,636,0.22,96.54,,1.26,,0.94,0.94,32202,675,-39,-5.8%,-3193,,white
AHMETOVIC,38050,583,0.2,95.71,0,0,0,2.57,1.72,63632,293,290,99.0%,25582,,white
AHN,3379,10567,3.58,3.44,0.14,93.82,0,2.21,0.39,4010,8130,2437,30.0%,631,,asian
AHNER,25833,953,0.32,94.96,0.63,1.05,0,1.89,1.47,24368,963,-10,-1.0%,-1465,,white
AHO,8506,3872,1.31,90.47,1.16,3.28,0.93,1.94,2.22,8636,3505,367,10.5%,130,,white
AHOLA,35721,629,0.21,89.19,,2.86,,2.86,3.66,35994,589,40,6.8%,273,,white
AHR,41501,524,0.18,92.56,1.15,1.15,0,1.15,4.01,40552,508,16,3.1%,-949,,white
AHRENDT,23785,1063,0.36,93.89,,1.03,,1.6,3.1,24350,964,99,10.3%,565,,white
AHRENS,3508,10182,3.45,94.81,0.19,0.69,0.46,1.53,2.32,3317,9895,287,2.9%,-191,,white
AHSAN,19341,1399,0.47,2.36,0.57,93.21,,3.5,,29447,756,643,85.1%,10106,,asian
AHUJA,14651,2031,0.69,4.28,0.3,89.76,0.74,2.81,2.12,20887,1175,856,72.9%,6236,,asian
AHUMADA,6829,4937,1.67,5.59,0.22,0.3,0.36,0.38,93.13,8276,3679,1258,34.2%,1447,,hispanic
AI,36379,615,0.21,4.39,,82.44,,8.13,3.25,56687,337,278,82.5%,20308,,asian
AICHELE,26873,904,0.31,92.48,1.11,,,2.65,2.54,27694,818,86,10.5%,821,,white
AIELLO,3982,8927,3.03,93.94,0.34,0.62,0.25,1.25,3.61,3674,8883,44,0.5%,-308,,white
AIGNER,35016,644,0.22,95.65,,,,1.71,1.55,33248,648,-4,-0.6%,-1768,,white
AIKEN,2816,12812,4.34,66.4,27.64,0.89,1.02,2.11,1.94,2755,12014,798,6.6%,-61,,white
AIKEY,36204,619,0.21,93.21,1.29,,,2.75,1.94,35721,595,24,4.0%,-483,,white
AIKIN,26143,936,0.32,91.88,2.56,0.85,1.07,0.96,2.67,24584,953,-17,-1.8%,-1559,,white
AIKINS,26171,935,0.32,69.2,24.39,,,2.46,3.32,24491,957,-22,-2.3%,-1680,,white
AIKMAN,24186,1039,0.35,88.16,4.81,0.67,1.15,2.41,2.79,24642,950,89,9.4%,456,,white
AILES,38902,567,0.19,88.89,6.35,,,1.23,2.47,29964,739,-172,-23.3%,-8938,,white
AINSLEY,37076,602,0.2,84.22,8.97,,,1.99,3.16,32609,664,-62,-9.3%,-4467,,white
AINSLIE,24648,1013,0.34,89.83,,0.89,,2.76,5.73,23237,1024,-11,-1.1%,-1411,,white
AINSWORTH,3874,9149,3.1,90.15,4.13,0.55,0.77,1.44,2.96,3585,9102,47,0.5%,-289,,white
AIRD,26695,912,0.31,72.26,17.32,,,2.3,7.02,27028,843,69,8.2%,333,,white
AIREY,33856,672,0.23,89.88,4.46,0.89,0,1.19,3.57,31167,704,-32,-4.5%,-2689,,white
AIRHART,25701,959,0.33,91.24,3.34,,,1.46,2.92,26717,857,102,11.9%,1016,,white
AISPURO,14713,2019,0.68,3.02,0,,,(S),96.73,19187,1309,710,54.2%,4474,,hispanic
AITCHISON,20502,1294,0.44,90.42,3.63,0.77,0.39,2.47,2.32,22461,1069,225,21.0%,1959,,white
AITKEN,7638,4347,1.47,90.71,2.58,0.76,0.76,1.27,3.93,7403,4150,197,4.7%,-235,,white
AJANEL,41303,527,0.18,2.66,,,,(S),96.2,83301,210,317,151.0%,41998,,hispanic
AJAYI,17502,1610,0.55,1.99,94.97,,,1.55,1.18,28489,788,822,104.3%,10987,,black
AKAMINE,40261,544,0.18,5.15,,76.1,,15.07,3.31,36761,573,-29,-5.1%,-3500,,asian
AKANDE,41657,522,0.18,1.15,93.87,,,2.49,2.11,66878,276,246,89.1%,25221,,black
AKARD,48293,411,0.15,94.16,,,,1.7,2.19,,,,"",,82348.85,white
AKE,15397,1904,0.65,71.06,4.1,1.58,0.74,2.52,20.01,14849,1830,74,4.0%,-548,,white
AKEL,33941,670,0.23,89.85,3.88,,,1.64,4.18,36531,578,92,15.9%,2590,,white
AKEN,49869,395,0.15,80.76,3.8,8.1,,4.3,,,,,"",,82584.19,white
AKENS,43811,492,0.17,69.72,25.41,0,0,3.05,1.83,38587,539,-47,-8.7%,-5224,,white
AKER,9539,3408,1.16,88.17,5.96,1.88,0.38,1.88,1.73,9463,3152,256,8.1%,-76,,white
AKERMAN,23019,1110,0.38,90.72,,,1.53,2.16,4.68,24180,972,138,14.2%,1161,,white
AKERS,1405,25290,8.57,89.91,4.77,0.51,0.66,1.98,2.17,1330,24353,937,3.8%,-75,,white
AKERSON,43206,500,0.17,85,11,,,1.2,1.6,40552,508,-8,-1.6%,-2654,,white
AKEY,16755,1706,0.58,92.2,2.64,1.06,0.59,1.64,1.88,20284,1220,486,39.8%,3529,,white
AKHAVAN,42237,514,0.17,82.88,,,0,13.04,3.11,46523,431,83,19.3%,4286,,white
AKHAVAN,46523,431,0.16,82.83,,,0,13.69,2.78,,,,"",,82072.27,white
AKHTAR,7785,4260,1.44,4.88,0.47,89.81,0.16,3.45,1.22,11734,2445,1815,74.2%,3949,,asian
AKHTER,15090,1955,0.66,2.51,,94.12,,2.25,0.77,22870,1045,910,87.1%,7780,,asian
AKIN,4114,8626,2.92,89.93,2.97,1.09,1.15,1.97,2.9,3896,8378,248,3.0%,-218,,white
AKIYAMA,26282,929,0.31,6.14,,78.36,,10.23,5.17,24969,934,-5,-0.5%,-1313,,asian
AKKERMAN,47210,423,0.16,93.62,,,1.65,1.18,2.13,,,,"",,82181.1,white
AKKERMAN,43151,501,0.17,93.41,,,2.4,2.2,1.2,47210,423,78,18.4%,4059,,white
AKOPYAN,23837,1060,0.36,96.23,,,0,2.64,0.94,25169,924,136,14.7%,1332,,white
AKPAN,31587,732,0.25,3.42,90.16,0.68,0,5.05,0.68,41793,490,242,49.4%,10206,,black
AKRAM,19425,1391,0.47,10.78,14.09,68.51,0.58,4.67,1.37,28049,804,587,73.0%,8624,,asian
AKRE,37442,595,0.2,92.44,3.03,,,1.34,1.68,38464,541,54,10.0%,1022,,white
AKRIDGE,14398,2076,0.7,79.14,16.09,0.58,0.39,1.69,2.12,14302,1921,155,8.1%,-96,,white
AKSAMIT,47308,422,0.16,97.16,0,,0,1.66,,,,,"",,82196.31,white
AKTAR,40082,547,0.19,4.02,,92.32,,2.01,,88083,196,351,179.1%,48001,,asian
AKTER,13316,2291,0.78,1.09,0.52,95.42,,2.36,,39176,529,1762,333.1%,25860,,asian
AKTHER,27059,895,0.3,,,96.87,0,2.46,,70906,257,638,248.2%,43847,,asian
AKULA,38691,571,0.19,3.85,,93.87,,1.4,,93006,183,388,212.0%,54315,,asian
ALABI,48380,410,0.15,2.68,84.39,,,6.59,5.85,,,,"",,82362.11,black
ALABI,31251,742,0.25,2.29,92.86,,,1.08,3.37,48380,410,332,81.0%,17129,,black
ALAGNA,35993,623,0.21,94.54,,0.96,0,(S),4.01,36276,583,40,6.9%,283,,white
ALAIMO,14233,2107,0.71,93.83,,0.81,,1.19,3.75,14006,1976,131,6.6%,-227,,white
ALALI,42030,517,0.18,78.72,3.68,3.48,0,12.38,1.74,73659,245,272,111.0%,31629,,white
ALAM,4476,7932,2.69,10.24,1.01,82.92,0.5,3.45,1.88,6942,4455,3477,78.0%,2466,,asian
ALAMILLA,19306,1402,0.48,4.56,0.93,0.5,0.36,1.07,92.58,26035,885,517,58.4%,6729,,hispanic
ALAMILLO,13646,2219,0.75,4.19,,1.22,,0.68,93.47,16042,1660,559,33.7%,2396,,hispanic
ALAMIN,47654,418,0.15,9.09,69.86,6.94,1.67,5.74,6.7,,,,"",,82250.4,black
ALAMIN,36048,622,0.21,9.32,66.72,9.32,,8.52,,47654,418,204,48.8%,11606,,black
ALAMO,9433,3448,1.17,12.33,1.91,3.57,0.15,0.64,81.41,11060,2636,812,30.8%,1627,,hispanic
ALANIS,3274,11029,3.74,4.65,0.28,0.29,0.16,0.12,94.5,4345,7567,3462,45.8%,1071,,hispanic
ALANIZ,2189,16596,5.63,6.95,0.13,0.19,0.24,0.15,92.34,2341,14169,2427,17.1%,152,,hispanic
ALARCON,1917,18805,6.38,5.43,0.35,2.6,0.2,0.29,91.14,2594,12821,5984,46.7%,677,,hispanic
ALARID,23920,1055,0.36,23.89,,0.47,0.66,(S),74.5,23863,988,67,6.8%,-57,,hispanic
ALARIE,43511,496,0.17,95.77,,1.21,,1.61,,41060,501,-5,-1.0%,-2451,,white
ALAS,7619,4358,1.48,3.81,0.78,2.5,0.23,0.21,92.47,10863,2693,1665,61.8%,3244,,hispanic
ALATORRE,7031,4759,1.61,4.08,0.15,0.21,0.13,0.15,95.29,8986,3345,1414,42.3%,1955,,hispanic
ALAVA,34967,645,0.22,5.74,1.09,13.02,0,0.93,79.22,43546,467,178,38.1%,8579,,hispanic
ALAVEZ,23750,1065,0.36,0.94,,,,(S),98.22,45735,440,625,142.0%,21985,,hispanic
ALAVEZ,45735,440,0.16,2.5,0,0,0,0,97.5,,,,"",,81944.78,hispanic
ALAVI,30277,773,0.26,68.05,,15.65,,13.32,2.2,37835,552,221,40.0%,7558,,white
ALAYON,35764,628,0.21,8.12,,13.54,,1.11,76.91,40552,508,120,23.6%,4788,,hispanic
ALBA,2699,13347,4.52,13.46,0.42,5.36,0.19,0.65,79.91,3324,9872,3475,35.2%,625,,hispanic
ALBANESE,5435,6407,2.17,95.36,,0.66,,0.92,2.79,5121,6286,121,1.9%,-314,,white
ALBANO,5889,5860,1.99,75.96,0.63,16.54,0.12,2.13,4.62,5819,5440,420,7.7%,-70,,white
ALBARADO,11576,2716,0.92,27.28,0.88,0.96,0.37,1.33,69.18,12520,2270,446,19.6%,944,,hispanic
ALBAREZ,30165,777,0.26,11.07,,,,(S),88.03,30412,725,52,7.2%,247,,hispanic
ALBARRACIN,31516,734,0.25,4.63,0.95,7.08,,(S),86.92,42757,477,257,53.9%,11241,,hispanic
ALBARRAN,5464,6366,2.16,3.83,0.28,0.2,,(S),95.48,7403,4150,2216,53.4%,1939,,hispanic
ALBAUGH,10410,3094,1.05,95.86,0.19,0.9,0.19,1.1,1.75,9902,3005,89,3.0%,-508,,white
ALBEE,12587,2459,0.83,92.96,0.98,0.94,0.65,2.03,2.44,12305,2317,142,6.1%,-282,,white
ALBELO,36477,613,0.21,8.32,0.82,,0,(S),90.54,53904,359,254,70.8%,17427,,hispanic
ALBER,14695,2023,0.69,89.37,0.99,,,0.99,7.56,13957,1984,39,2.0%,-738,,white
ALBERGO,45149,447,0.17,96.42,,,0,(S),2.46,,,,"",,81848.5,white
ALBERICO,26853,905,0.31,93.48,,0.77,,0.66,4.86,25147,925,-20,-2.2%,-1706,,white
ALBERS,3638,9766,3.31,95.44,0.54,0.72,0.63,1.14,1.53,3435,9531,235,2.5%,-203,,white
ALBERSON,18660,1474,0.5,87.92,4.41,0.61,2.92,1.76,2.37,21590,1126,348,30.9%,2930,,white
ALBERT,1076,32507,11.02,76.84,13.64,2.06,1.69,1.72,4.04,1028,31159,1348,4.3%,-48,,white
ALBERTA,41799,520,0.18,78.85,11.73,,,2.5,5.38,40139,514,6,1.2%,-1660,,white
ALBERTI,11659,2689,0.91,83,1.12,,,1.3,13.76,11653,2466,223,9.0%,-6,,white
ALBERTINI,26598,916,0.31,84.06,5.13,,,1.31,9.06,27313,832,84,10.1%,715,,white
ALBERTO,5335,6528,2.21,14.78,0.8,10.78,0.09,0.64,72.9,7026,4398,2130,48.4%,1691,,hispanic
ALBERTS,5578,6229,2.11,90.62,2.55,0.56,1.78,1.53,2.95,5176,6205,24,0.4%,-402,,white
ALBERTSON,3580,9943,3.37,94.45,0.85,0.43,0.75,1.41,2.1,3385,9666,277,2.9%,-195,,white
ALBIN,7765,4273,1.45,91.83,1.36,1.15,0.42,1.29,3.96,7244,4247,26,0.6%,-521,,white
ALBINO,9418,3453,1.17,24.36,1.77,5.65,0.17,1.42,66.64,10686,2745,708,25.8%,1268,,hispanic
ALBITER,37125,601,0.2,3.99,,,0,0,95.84,52174,374,227,60.7%,15049,,hispanic
ALBOR,23300,1093,0.37,4.76,,0.64,0,(S),94.33,32984,655,438,66.9%,9684,,hispanic
ALBORNOZ,32123,718,0.24,7.66,,4.32,0,(S),87.19,44997,449,269,59.9%,12874,,hispanic
ALBRECHT,2047,17581,5.96,95.38,0.26,0.6,0.19,1.26,2.31,1914,17256,325,1.9%,-133,,white
ALBRIGHT,1410,25189,8.54,89.66,5.59,0.49,0.52,1.63,2.1,1297,24942,247,1.0%,-113,,white
ALBRITTON,5192,6737,2.28,74.87,20.94,0.31,0.34,1.42,2.11,5021,6412,325,5.1%,-171,,white
ALBRO,18054,1545,0.52,89.39,4.72,,,1.94,2.98,17180,1521,24,1.6%,-874,,white
ALBUQUERQUE,29138,813,0.28,81.67,2.09,7.5,0,1.11,7.63,35342,603,210,34.8%,6204,,white
ALBUS,30946,751,0.25,94.94,,1.07,,2.13,1.2,32129,677,74,10.9%,1183,,white
ALCAIDE,27625,871,0.3,7.58,,16.99,,2.07,73.02,34459,622,249,40.0%,6834,,hispanic
ALCALA,2029,17758,6.02,5.66,0.37,1.97,0.11,0.23,91.66,2562,12972,4786,36.9%,533,,hispanic
ALCALDE,32834,699,0.24,12.59,,10.3,,1.72,74.96,37640,556,143,25.7%,4806,,hispanic
ALCANTAR,2794,12919,4.38,3.27,0.27,0.21,0.19,0.16,95.9,3701,8802,4117,46.8%,907,,hispanic
ALCANTARA,2853,12636,4.28,5.05,0.62,17.89,0.05,1.45,74.94,4017,8112,4524,55.8%,1164,,hispanic
ALCARAZ,3098,11616,3.94,3.19,0.21,3.37,0.23,0.22,92.77,4070,8041,3575,44.5%,972,,hispanic
ALCAUTER,41303,527,0.18,2.09,0,0,0,0,97.91,56246,340,187,55.0%,14943,,hispanic
ALCAZAR,7847,4219,1.43,4.88,0.62,4.05,,(S),89.95,9814,3042,1177,38.7%,1967,,hispanic
ALCIDE,39212,561,0.19,8.38,85.38,,,2.5,3.39,54643,353,208,58.9%,15431,,black
ALCINDOR,34707,651,0.22,1.54,90.94,,,2.15,5.07,44430,456,195,42.8%,9723,,black
ALCIVAR,35912,625,0.21,5.76,,,0,(S),93.28,44103,460,165,35.9%,8191,,hispanic
ALCOCER,8867,3693,1.25,5.77,,1.27,,0.3,92.55,11295,2567,1126,43.9%,2428,,hispanic
ALCOCK,19716,1366,0.46,87.26,6.15,1.39,0,1.46,3.73,19248,1303,63,4.8%,-468,,white
ALCON,25314,978,0.33,23.31,1.12,6.44,0.82,1.23,67.08,25060,929,49,5.3%,-254,,hispanic
ALCORN,4498,7884,2.67,84.88,9.67,0.6,0.56,1.74,2.56,4247,7716,168,2.2%,-251,,white
ALCORTA,17911,1561,0.53,7.82,,,,(S),91.54,18619,1365,196,14.4%,708,,hispanic
ALCOSER,25356,976,0.33,9.84,,,,(S),89.24,29296,761,215,28.3%,3940,,hispanic
ALCOTT,18253,1522,0.52,88.5,2.69,0.66,4.93,1.25,1.97,17911,1440,82,5.7%,-342,,white
ALDABA,25620,963,0.33,2.49,,4.67,0,(S),92.73,39444,525,438,83.4%,13824,,hispanic
ALDACO,10797,2953,1,4.06,0.2,,0.24,(S),95.43,12986,2164,789,36.5%,2189,,hispanic
ALDAMA,15788,1845,0.63,5.09,0.49,,,0.27,93.93,19908,1248,597,47.8%,4120,,hispanic
ALDANA,3448,10362,3.51,5.12,0.75,3.83,0.13,0.4,89.77,4565,7128,3234,45.4%,1117,,hispanic
ALDAPE,14004,2151,0.73,7.86,,0.56,0.28,(S),91.03,15759,1700,451,26.5%,1755,,hispanic
ALDAVA,49366,400,0.15,4.5,,0,,1.5,93.5,,,,"",,82510.13,hispanic
ALDAZ,24112,1044,0.35,6.03,0,0.48,,(S),93.01,23638,1000,44,4.4%,-474,,hispanic
ALDEN,5985,5748,1.95,90.99,1.36,1.53,1.81,1.69,2.63,5744,5524,224,4.1%,-241,,white
ALDER,8485,3885,1.32,89.78,4.22,0.75,0.33,1.88,3.04,8712,3471,414,11.9%,227,,white
ALDERETE,8464,3903,1.32,7.79,0.18,0.38,0.51,0.31,90.83,9279,3229,674,20.9%,815,,hispanic
