Name,Rank,Count,X..100K,X..White,X..Black,X..API,X..AIAN,X..2.or.More.Races,X..Hispanic.Origin,Rank.in.2000,Count.in.2000,Change.since.2000,X..Change,Rank.change,Cumulative.proportion...100.000,race
ZAGAL,29064,816,0.28,3.8,,0,,(S),95.47,41995,487,329,67.6%,12931,,hispanic
ZAGAMI,48877,405,0.15,93.33,,,0,1.48,4.44,,,,"",,82449.72,white
ZAGAR,29422,803,0.27,94.4,0.62,0.75,,(S),3.24,26761,855,-52,-6.1%,-2661,,white
ZAGATA,49563,398,0.15,96.73,0,,0,1.76,,,,,"",,82554.8,white
ZAGER,20299,1310,0.44,93.97,0.38,1.07,0,1.76,2.82,19018,1325,-15,-1.1%,-1281,,white
ZAGORSKI,18858,1450,0.49,96.62,,,0.62,0.55,1.72,18288,1399,51,3.6%,-570,,white
ZAHEER,42378,512,0.17,8.4,2.34,82.23,0,5.47,1.56,55237,348,164,47.1%,12859,,asian
ZAHER,45227,446,0.17,82.96,,2.91,,11.21,2.69,,,,"",,81874.48,white
ZAHID,23283,1094,0.37,8.68,,85.56,,3.93,1.1,36672,575,519,90.3%,13389,,asian
ZAHLER,24049,1048,0.36,95.61,,,0.86,0.76,1.81,23019,1037,11,1.1%,-1030,,white
ZAHM,27228,888,0.3,97.41,,,,(S),1.35,26078,883,5,0.6%,-1150,,white
ZAHN,5695,6086,2.06,93.95,0.38,1.17,0.94,1.38,2.19,5282,6063,23,0.4%,-413,,white
ZAHNER,21330,1228,0.42,95.03,0,,,2.44,1.95,20028,1239,-11,-0.9%,-1302,,white
ZAHNISER,40204,545,0.18,97.25,,,,0.92,,40761,505,40,7.9%,557,,white
ZAHRADNIK,45829,439,0.16,97.49,0,,0,(S),1.59,,,,"",,81972.96,white
ZAIDI,11122,2851,0.97,7.02,0.84,86.6,0.42,3.4,1.72,15470,1738,1113,64.0%,4348,,asian
ZAINO,29447,802,0.27,95.51,,0.87,,1.62,1.62,28730,780,22,2.8%,-717,,white
ZAJAC,6444,5270,1.79,96.98,0.25,0.47,0,0.66,1.63,6141,5135,135,2.6%,-303,,white
ZAJDEL,40554,539,0.18,97.96,0,1.11,0,0,0.93,39560,523,16,3.1%,-994,,white
ZAJICEK,24982,995,0.34,95.78,0,0.5,0,1.41,2.31,23831,990,5,0.5%,-1151,,white
ZAJKOWSKI,41038,531,0.18,96.99,,,0,0.94,1.32,42056,486,45,9.3%,1018,,white
ZAK,6540,5177,1.76,96.08,0.56,0.64,0.1,0.68,1.95,6114,5168,9,0.2%,-426,,white
ZAKARIAN,30863,754,0.26,94.43,0,,,3.58,1.46,31464,696,58,8.3%,601,,white
ZAKI,19823,1356,0.46,71.83,,17.26,,3.61,3.69,25754,898,458,51.0%,5931,,white
ZAKRZEWSKI,14739,2016,0.68,96.58,,0.64,,0.99,1.49,13648,2039,-23,-1.1%,-1091,,white
ZALAR,45909,438,0.16,96.58,,,,(S),1.14,,,,"",,81987.58,white
ZALAZAR,35764,628,0.21,3.66,,0.96,0,(S),94.75,31530,694,-66,-9.5%,-4234,,hispanic
ZALDANA,28176,849,0.29,2.94,,,0,0,96.11,32984,655,194,29.6%,4808,,hispanic
ZALDIVAR,13721,2206,0.75,6.12,0.82,2.36,,(S),90.34,18499,1377,829,60.2%,4778,,hispanic
ZALE,34801,649,0.22,92.76,,,1.69,1.54,2.62,28947,773,-124,-16.0%,-5854,,white
ZALENSKI,38754,570,0.19,95.09,,,,1.23,2.28,35797,593,-23,-3.9%,-2957,,white
ZALESKI,9451,3442,1.17,95.87,,0.76,,1.45,1.37,8717,3470,-28,-0.8%,-734,,white
ZALESKY,48021,414,0.15,96.86,0,0,0,1.21,1.93,,,,"",,82319.95,white
ZALEWSKI,8629,3812,1.29,97.22,,0.42,,0.81,1.02,7902,3886,-74,-1.9%,-727,,white
ZAMAN,8865,3694,1.25,9.42,0.97,84.52,0.35,3.9,0.84,12822,2202,1492,67.8%,3957,,asian
ZAMANI,28001,856,0.29,68.34,1.17,6.07,0,20.21,4.21,33563,641,215,33.5%,5562,,white
ZAMARRIPA,4820,7322,2.48,4.71,0.14,0.12,0.08,0.19,94.76,5747,5522,1800,32.6%,927,,hispanic
ZAMARRON,11946,2617,0.89,5.62,,,0.34,0.42,93.31,14737,1848,769,41.6%,2791,,hispanic
ZAMBITO,24517,1020,0.35,92.75,0.49,,,1.67,4.8,22973,1040,-20,-1.9%,-1544,,white
ZAMBRANA,14591,2040,0.69,9.12,0.83,,,0.39,89.31,16714,1576,464,29.4%,2123,,hispanic
ZAMBRANO,2117,17092,5.79,6.64,0.22,1.35,0.09,0.3,91.4,2661,12471,4621,37.1%,544,,hispanic
ZAMMIT,28704,830,0.28,94.58,,0,,1.2,3.98,27771,815,15,1.8%,-933,,white
ZAMOR,29198,811,0.27,5.67,85.7,0.62,0,1.73,6.29,36093,587,224,38.2%,6895,,black
ZAMORA,540,61729,20.93,5.38,0.31,2.52,0.26,0.33,91.21,684,45806,15923,34.8%,144,,hispanic
ZAMORANO,8419,3926,1.33,4.2,0.23,0.28,,(S),95.06,10494,2808,1118,39.8%,2075,,hispanic
ZAMUDIO,3174,11384,3.86,4.35,0.14,0.58,0.13,0.12,94.68,4303,7629,3755,49.2%,1129,,hispanic
ZAMZOW,33596,678,0.23,98.08,,,,(S),0.88,31774,687,-9,-1.3%,-1822,,white
ZANCA,47575,419,0.16,94.03,,,1.67,(S),2.86,,,,"",,82250.09,white
ZANDER,7373,4518,1.53,92.41,2.94,0.55,0.53,1.46,2.1,7099,4342,176,4.1%,-274,,white
ZANDERS,14591,2040,0.69,20.93,72.4,0.39,0.29,3.24,2.75,15350,1757,283,16.1%,759,,black
ZANDI,40800,535,0.18,88.22,,0.93,,8.41,2.06,41657,492,43,8.7%,857,,white
