node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
46512-19F,54564-04,9,.12676056,.66666669,0,3,4157091,1,0,1,1,1,0,0,2013,-122.3957,37.789227,71,18,33,Exit
46512-82F,181963-90,76,.56716418,0,1,12,45544.863,0,0,0,0,1,0,0,2018,-122.42188,37.792778,134,1,17,Generating revenue
46512-82F,57698-38,76,.44970414,1,1,5,20677.248,0,0,0,0,1,0,0,2015,-122.2144,37.483505,169,15,108,Generating revenue
46512-82F,54564-04,9,.12676056,.66666669,0,3,4157091,1,0,1,1,1,0,0,2013,-122.3957,37.789227,71,18,33,Exit
46513-00F,52881-94,0,0,1,1,2,13615.051,0,0,0,0,1,0,0,2006,-81.658157,41.391754,6,3,4,Out of business
46513-00F,10974-88,0,0,1,1,4,649050.19,0,0,1,0,1,0,0,2008,-73.977592,40.746181,8,4,12,Exit
46513-00F,53298-37,0,0,1,1,7,33693.531,0,0,1,0,1,0,0,2011,-81.446793,41.248795,9,1,9,Generating revenue
46513-09F,181963-90,76,.56716418,0,1,12,45544.863,0,0,0,0,1,0,0,2018,-122.42188,37.792778,134,1,17,Generating revenue
46513-09F,57698-38,76,.44970414,1,1,5,20677.248,0,0,0,0,1,0,0,2015,-122.2144,37.483505,169,15,108,Generating revenue
46513-09F,54564-04,9,.12676056,.66666669,0,3,4157091,1,0,1,1,1,0,0,2013,-122.3957,37.789227,71,18,33,Exit
46523-26F,55297-54,0,0,1,1,1,1505058.4,.5,0,1,0,1,0,0,2010,-105.21928,40.044384,4,2,4,Out of business
46523-26F,53940-79,0,0,1,1,3,48785.207,0,0,1,0,1,0,0,2012,-122.3957,37.789227,8,3,6,Startup
46523-26F,55775-80,0,0,1,0,4,22445.182,.5,0,.5,0,1,0,0,2013,-121.96066,37.393242,19,14,26,Generating revenue
46524-07F,52752-34,0,0,1,1,5,0,0,0,.33333334,1,1,0,1,2013,-105.29673,40.020885,111,45,168,Profitable
46524-07F,55890-19,0,0,1,1,4.5,2860789.3,0,0,1,1.5,1,0,1,2013,-71.104309,42.364346,111,30,112,Generating revenue
46524-07F,56933-56,0,0,0,1,6,0,0,0,0,0,1,0,1,2013,-105.29673,40.020885,111,15,56,Out of business
46524-07F,64004-05,0,0,1,1,3,0,0,0,0,3,1,0,1,2013,-105.29673,40.020885,111,30,112,Generating revenue
46524-07F,94124-17,0,0,.5,1,8,0,0,0,0,0,1,0,1,2015,-105.29673,40.020885,122,14,132,Out of business
