q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Technical degree,,,African American,,,,,No,Yes,Prefer not to answer,30016,0,0,0,1
5,1,Sports,4,5,0,0,0,0,1,0,Female,25-34,Advanced or professional degree,,,African American,,,,,No,Yes,Prefer not to answer,30032,1,0,0,0
1,0,Other,3,1,0,0,0,0,1,1,Female,55-64,Advanced or professional degree,,,African American,,,,,Yes,No,"$150k-$249,999",,1,0,0,0
1,0,Racing,,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,,,,,,Other,,Yes,No,"$25k-$49,999",30036,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,White,,,,,,,No,No,Prefer not to answer,,0,0,1,0
4,1,Other,2,1,0,0,0,1,0,0,Female,55-64,Technical degree,White,,,,,,,Yes,No,"$100k-$149,999",30575,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,4,3,0,0,0,0,0,0,Male,65+,Some college,,,African American,,,,,,,,,1,0,0,0
1,1,First-person shooters,3,1,1,0,0,0,0,0,Female,35-44,High school diploma,White,,,,,,,No,Yes,"$25k-$49,999",30523,0,0,1,0
0,,,3,1,1,0,0,0,1,0,Male,45-54,Bachelors degree,,,African American,,,,,No,No,Less than $25k,30034,0,0,1,0
6,2,Other,3,4,1,0,0,1,1,1,Male,55-64,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",30542,0,1,0,0
4,1,Other,3,1,1,0,0,1,1,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$50k-$74,999",30291,1,0,0,0
0,,Other,4,4,0,0,0,1,1,0,Female,35-44,Advanced or professional degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30281,1,0,0,0
1,0,Other,5,1,0,0,0,0,1,0,Female,35-44,Some college,,,,,,,Exclusive / Prefer not to answer,No,Yes,Prefer not to answer,30236,0,0,0,0
0,,,2,3,0,0,0,0,1,0,Female,25-34,Advanced or professional degree,White,,,,,,,No,No,"$25k-$49,999",30030,0,0,0,0
1,1,Real-time strategy,1,3,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,White,,,,,,,No,No,Less than $25k,30114,0,0,0,1
4,1,Real-time strategy,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,White,,,,,,,Yes,No,"$100k-$149,999",30043,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
1,1,Other,2,0,0,0,0,0,0,0,Female,45-54,Some college,,,,,,Other,,No,No,"$25k-$49,999",30311,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
1,0,Sports,3,2,0,1,0,0,0,0,Female,25-34,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,No,No,"$50k-$74,999",35235,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30034,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,3,1,0,1,0,0,0,0,Female,45-54,Bachelors degree,,Hispanic,,,,,,Yes,Yes,"$150k-$249,999",30188,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,30062,0,0,1,0
1,1,Sports,5,1,0,0,0,0,1,0,Female,35-44,Some college,,,African American,,,,,No,Yes,"$25k-$49,999",30349,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,"$100k-$149,999",30084,0,0,0,0
3,1,Multiplayer online battle arena (MOBA),2,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,,Hispanic,,,,,,Yes,Yes,"$100k-$149,999",30094,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
3,1,Sports,5,4,0,0,0,0,1,0,Female,25-34,Bachelors degree,White,,,,,,,Yes,No,"$50k-$74,999",30032,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
0,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
1,1,Other,4,4,0,0,0,0,1,1,Female,65+,Bachelors degree,White,Hispanic,,,,,,No,No,"$50k-$74,999",30087,0,0,0,1
2,0,Fighting,2,1,0,0,0,0,1,0,Female,25-34,Bachelors degree,,,African American,,,,,No,No,"$50k-$74,999",30008,0,0,0,1
5,4,Real-time strategy,5,5,0,0,0,0,1,0,,,,,,,,,,,,,,,0,0,0,0
0,,,,0,0,0,0,0,0,0,Male,45-54,Some college,,,African American,,,,,No,No,"$75k-$99,999",30120,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,Other,2,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$50k-$74,999",29670,0,0,0,1
0,,Other,3,4,1,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,No,No,"$50k-$74,999",30260,1,0,0,0
1,0,Sports,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,,,African American,,,,,No,Yes,"$75k-$99,999",30213,0,0,0,1
0,,,1,4,0,0,0,0,1,0,Female,35-44,Advanced or professional degree,,,African American,,,,,No,No,"$75k-$99,999",30106,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,Yes,No,"$150k-$249,999",30286,0,0,1,0
0,,Racing,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30228,0,0,1,0
5,1,Multiplayer online battle arena (MOBA),5,3,0,1,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$50k-$74,999",30067,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$100k-$149,999",31905,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
1,0,Fighting,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,,,African American,,,,,No,No,"$50k-$74,999",30044,0,0,0,0
1,0,Other,2,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,White,,,,,,,No,No,"$25k-$49,999",,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
5,1,Other,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,,,African American,,,,,No,No,"$50k-$74,999",30344,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,,,African American,,,,,No,No,"$50k-$74,999",30308,0,0,0,1
1,1,Sports,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,Yes,Yes,Prefer not to answer,30058,0,0,0,1
0,,,2,1,0,0,0,1,1,0,Female,25-34,Advanced or professional degree,White,,,,,,,No,No,"$100k-$149,999",30307,0,0,0,0
1,1,Real-time strategy,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,Yes,No,"$150k-$249,999",30341,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,High school diploma,,,African American,,,,,No,Yes,"$25k-$49,999",A3003,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,,,African American,,,,,Yes,No,Prefer not to answer,30144,0,0,0,0
5,0,Real-time strategy,1,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,White,,,,,,,Yes,No,$250k or more,30328,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,,,,,,,Exclusive / Prefer not to answer,Yes,Yes,Prefer not to answer,30213,0,0,0,0
0,,,1,,0,0,0,0,0,0,Female,45-54,Bachelors degree,,,,,,Other,,No,No,"$75k-$99,999",30312,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
1,0,Other,1,1,0,0,0,0,1,0,Male,Prefer not to answer,Prefer not to answer,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,30294,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,White,,,,,,,Yes,No,Prefer not to answer,30345,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,5,4,0,0,1,0,1,0,Female,35-44,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,Yes,No,"$100k-$149,999",30324,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,Yes,No,"$75k-$99,999",30016,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
3,1,Sports,1,0,0,0,0,0,0,0,Male,35-44,Technical degree,,,African American,,,,,No,No,"$100k-$149,999",30043,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,,,African American,,,,,No,No,Less than $25k,30034,0,0,0,1
5,1,Other,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,No,Yes,"$75k-$99,999",30345,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,,,African American,,,,,Yes,No,"$25k-$49,999",30030,0,0,1,0
1,1,First-person shooters,3,1,0,1,0,0,0,0,Male,25-34,Prefer not to answer,White,,,,,,,No,No,Prefer not to answer,,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,,0,0,0,0,0,0,0,Female,35-44,Some college,,,African American,,,,,No,No,"$25k-$49,999",30316,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,45-54,Some college,White,,,,,,,Yes,No,Prefer not to answer,30064,0,0,0,0
0,,,,0,0,0,0,0,0,0,Female,55-64,Some college,White,,,,,,,Yes,No,"$150k-$249,999",30002,0,0,0,0
1,2,Sports,5,4,1,0,0,0,1,0,Male,45-54,Bachelors degree,White,,,,,,,No,No,Less than $25k,20194,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,25-34,Advanced or professional degree,White,,,,,,,No,No,"$50k-$74,999",30324,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,White,,,,,,,Yes,No,"$100k-$149,999",30002,0,0,1,0
0,,,3,4,0,0,0,0,1,0,Female,45-54,Bachelors degree,,,African American,,,,,Yes,No,"$100k-$149,999",30088,1,0,0,0
0,,,1,1,0,0,0,0,1,0,Female,45-54,Bachelors degree,,,African American,,,,,Yes,No,"$150k-$249,999",30068,0,0,0,1
0,,,,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,White,,,,,,,Yes,Yes,Prefer not to answer,30022,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,,,African American,,,,,Prefer not to answer,No,$250k or more,30303,0,1,0,0
0,,,5,5,0,0,0,0,1,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$50k-$74,999",30135,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,4,5,1,0,0,1,1,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$75k-$99,999",29643,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,,5,3,0,0,0,0,1,0,Male,65+,Technical degree,White,,,,,,,Yes,No,"$75k-$99,999",30328,0,0,0,1
0,,,,0,0,0,0,0,0,0,Female,55-64,Technical degree,White,,,,,,,No,No,Prefer not to answer,30734,0,1,0,0
,,,5,3,0,0,0,0,0,1,Male,45-54,Advanced or professional degree,,,,,,Other,,No,No,"$100k-$149,999",30329,0,0,0,1
0,,,4,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,,,,,,Other,,Prefer not to answer,Prefer not to answer,Prefer not to answer,30346,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,White,Hispanic,African American,Asian,,,,Yes,Yes,"$150k-$249,999",30337,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
0,,,1,,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,White,,,,,,,Yes,No,,,1,0,0,0
1,1,Sports,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,No,No,Prefer not to answer,31210,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
1,0,Other,5,6,1,0,0,0,1,1,Male,35-44,Bachelors degree,,,African American,,,,,Yes,Yes,"$150k-$249,999",30039,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,No,Yes,"$25k-$49,999",30152,0,0,0,0
0,,,,0,0,0,0,0,0,0,Male,65+,Some college,,,African American,,,,,Yes,No,"$100k-$149,999",30038,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
2,2,Sports,5,4,1,0,0,1,1,0,Female,45-54,Bachelors degree,,,African American,,,,,No,No,"$100k-$149,999",30122,1,0,0,0
0,,,5,4,0,0,0,0,1,1,Male,55-64,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,No,No,Prefer not to answer,30035,1,0,0,0
0,,,,1,0,0,0,1,0,0,Female,65+,Some college,White,,,,,,,Yes,No,"$75k-$99,999",30116,1,0,0,0
2,0,Sports,,0,0,0,0,0,0,0,Male,55-64,Advanced or professional degree,,Hispanic,,,,,,Yes,Yes,"$150k-$249,999",30033,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,,0,0,0,0,0,0,0,Female,55-64,Some college,White,,,,,,,Yes,No,"$75k-$99,999",30135,0,0,0,0
3,1,Other,,4,0,0,0,0,1,0,Female,65+,Bachelors degree,White,,,,,,,No,No,Less than $25k,36206,0,0,0,0
1,3,Other,1,0,0,0,0,0,0,0,Female,65+,Some college,White,,,,,,,Prefer not to answer,No,"$50k-$74,999",30127,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,Prefer not to answer,30342,0,1,0,0
1,0,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,Prefer not to answer,30043,0,0,1,0
4,0,Sports,1,0,0,0,0,0,0,0,Male,45-54,High school diploma,White,,,,,,,No,No,Prefer not to answer,30125,0,1,0,0
5,2,Real-time strategy,3,5,0,0,0,0,1,0,Female,65+,Some college,,,,,,,Exclusive / Prefer not to answer,No,No,"$100k-$149,999",30518,0,0,0,1
4,1,Other,1,0,0,0,0,0,0,0,Male,55-64,Some college,,,,,,Other,,Yes,No,"$50k-$74,999",37416,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Female,55-64,Some college,,,African American,,,,,Yes,No,"$50k-$74,999",30067,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$100k-$149,999",,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
0,,Other,5,5,0,0,0,0,1,0,Male,55-64,Advanced or professional degree,,,African American,,,,,Yes,No,"$150k-$249,999",30224,1,0,0,0
3,1,Other,,0,0,0,0,0,0,0,Female,65+,Technical degree,,,African American,,,,,Yes,No,"$100k-$149,999",30087,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,,,African American,,,,,Prefer not to answer,Yes,"$150k-$249,999",30337,0,0,1,0
0,,Other,1,0,0,0,0,0,0,0,Male,65+,Technical degree,,,African American,,,,,No,No,"$100k-$149,999",30035,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,65+,Advanced or professional degree,,,African American,,,,,Yes,No,Prefer not to answer,30349,0,0,0,1
0,,Other,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
5,1,Other,5,5,0,0,0,0,1,0,Female,55-64,Bachelors degree,,,African American,,,,,No,Yes,"$150k-$249,999",30214,0,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Prefer not to answer,,,African American,,,,,No,No,Prefer not to answer,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Some college,,,African American,,,,,No,No,"$150k-$249,999",30290,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Some college,,,African American,,,,,No,No,"$25k-$49,999",30294,0,0,0,1
0,,,1,1,1,0,0,0,0,0,Female,45-54,Prefer not to answer,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,30094,0,0,0,1
0,,,,0,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,,,African American,,,,,No,No,"$150k-$249,999",30349,1,0,0,0
1,0,,1,0,0,0,0,0,0,0,Male,55-64,Advanced or professional degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30045,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
1,0,Real-time strategy,1,0,0,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$100k-$149,999",30236,0,0,0,1
5,4,Other,,0,0,0,0,0,0,0,Female,55-64,Some college,,,African American,,,,,No,No,"$25k-$49,999",30241,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
1,1,Fighting,,,1,0,0,0,0,0,Female,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$75k-$99,999",30349,1,0,0,0
4,1,Other,1,0,0,0,0,0,0,0,Male,65+,Bachelors degree,,,African American,,,,,Yes,No,"$100k-$149,999",30349,0,0,0,1
1,0,Other,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,,,African American,,,,,Yes,No,"$100k-$149,999",30008,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,,,African American,,,,,Yes,Yes,$250k or more,30281,0,0,1,0
1,1,Sports,5,5,0,0,0,0,1,0,Male,25-34,High school diploma,,,African American,,,,,No,No,"$50k-$74,999",30316,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
2,1,First-person shooters,5,2,1,0,0,0,0,0,Male,25-34,High school diploma,White,,,,,,,No,No,"$25k-$49,999",30342,1,0,0,0
0,,,1,,0,0,0,0,0,0,Male,65+,Some college,,,African American,,,,,No,No,"$50k-$74,999",30342,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,No,Yes,$250k or more,30305,0,1,0,0
5,1,Other,5,4,1,1,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,No,Yes,$250k or more,30518,0,0,1,0
3,1,Sports,5,5,0,0,0,0,1,0,Male,45-54,Technical degree,,,African American,,,,,No,Yes,"$50k-$74,999",30680,1,0,0,0
0,,,5,4,1,0,0,0,1,0,Female,45-54,Advanced or professional degree,White,,,,,,,No,No,$250k or more,30306,1,0,0,0
4,0,Sports,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
1,0,Sports,,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$150k-$249,999",32413,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Prefer not to answer,Prefer not to answer,Prefer not to answer,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,30024,0,0,1,0
0,,Sports,,1,1,0,0,0,1,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",,0,1,0,0
4,1,Multiplayer online battle arena (MOBA),2,2,1,0,0,0,1,0,Male,55-64,Some college,,,African American,,,,,No,No,"$75k-$99,999",30316,1,0,0,0
5,1,Other,2,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,,,African American,,,,,Yes,No,"$100k-$149,999",30274,0,0,1,0
0,,,5,4,0,0,0,0,1,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,$250k or more,30067,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Some college,White,,,,,,,Yes,Yes,"$150k-$249,999",30041,1,0,0,0
0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Bachelors degree,,,African American,,,,,Yes,No,"$150k-$249,999",30305,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,White,,,,,,,No,No,"$75k-$99,999",30319,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Male,Prefer not to answer,Prefer not to answer,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,30171,1,0,0,0
0,,Sports,,0,0,0,0,0,0,0,Male,45-54,Some college,,,African American,,,,,No,No,Prefer not to answer,30043,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,,,0,0,0,0,0,0,Female,55-64,Some college,,,African American,,,,,No,No,"$50k-$74,999",30802,1,0,0,0
4,3,Multiplayer online battle arena (MOBA),1,0,0,0,0,0,0,0,Male,35-44,Some college,,,African American,,,,,Yes,Yes,"$100k-$149,999",30014,0,0,0,1
0,,Other,3,3,0,0,0,0,1,0,Female,35-44,Bachelors degree,,,African American,,,,,No,No,"$75k-$99,999",30083,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,Other,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,,,African American,,,,,Yes,Yes,Prefer not to answer,30341,0,0,0,1
1,1,Fighting,4,4,0,0,0,0,1,0,Female,35-44,Bachelors degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30215,1,0,0,0
1,0,Other,1,1,0,0,0,0,1,0,Female,55-64,Advanced or professional degree,,,African American,,,,,No,No,"$75k-$99,999",31404,1,0,0,0
3,2,Real-time strategy,4,0,0,0,0,0,0,0,Male,55-64,Advanced or professional degree,,,African American,,,,,Yes,No,Prefer not to answer,30622,0,0,1,0
0,,Real-time strategy,4,4,0,0,0,1,1,0,Female,35-44,Advanced or professional degree,,,African American,,,,,No,Yes,"$50k-$74,999",30344,1,0,0,0
0,,,3,3,0,0,0,0,1,0,Male,45-54,Advanced or professional degree,,,African American,,,,,No,No,"$100k-$149,999",30296,1,0,0,0
2,0,Sports,1,0,0,0,0,0,0,0,Female,35-44,Bachelors degree,,,African American,,,,,No,No,Prefer not to answer,30328,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30342,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30281,1,0,0,0
2,2,Sports,3,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",,1,0,0,0
1,0,Other,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,,,African American,,,,,Yes,No,"$100k-$149,999",31407,1,0,0,0
0,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,,5,1,0,0,0,0,1,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30114,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
0,,Other,1,5,1,0,0,1,1,0,Female,45-54,Technical degree,,,African American,,,,,Yes,No,"$100k-$149,999",30122,1,0,0,0
0,,Other,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30038,0,0,0,1
0,,,1,,0,0,0,0,0,0,Female,65+,Some college,,,African American,,,,,No,No,"$25k-$49,999",31601,1,0,0,0
0,,Other,,3,0,0,0,0,1,0,Female,Prefer not to answer,Bachelors degree,,,,,,,Exclusive / Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,,1,0,0,0
0,,,,0,0,0,0,0,0,0,Female,65+,Some college,White,,,,,,,No,No,"$50k-$74,999",30078,0,1,0,0
0,,Sports,1,4,0,0,0,0,1,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30338,1,0,0,0
