q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,Role playing game,1,0,0,0,0,0,0,0,Male,25-34,High school diploma,White,,,,,,,No,No,"$25k-$49,999",30116,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
1,1,Other,1,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,Yes,No,"$75k-$99,999",30062,0,0,1,0
1,0,Sports,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,White,,,,,,,Yes,No,Prefer not to answer,30024,0,0,1,0
0,,Sports,1,0,0,0,0,0,0,0,Female,25-34,Bachelors degree,White,,,,,,,Yes,Yes,"$25k-$49,999",,0,0,0,1
0,,Other,3,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,White,,,,,,,Yes,No,$250k or more,30319,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,No,Prefer not to answer,37377,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,45-54,Some college,White,,,,,,,No,No,Prefer not to answer,30530,1,0,0,0
1,0,Other,1,0,0,0,0,0,0,0,Female,35-44,Advanced or professional degree,,,African American,,,,,Yes,Yes,"$100k-$149,999",30253,0,0,0,1
1,1,Sports,5,5,0,0,0,0,1,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,No,$250k or more,30305,0,0,1,0
4,1,First-person shooters,2,2,0,1,1,0,1,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$100k-$149,999",30309,0,0,1,0
0,,,1,4,0,0,0,0,0,0,Male,35-44,Some college,White,,,,,,,No,No,"$50k-$74,999",31023,0,0,0,1
1,0,Racing,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,30338,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,$250k or more,30318,0,0,0,1
5,0,Other,1,0,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,,,,Asian,,,,Yes,No,Prefer not to answer,30345,0,0,0,1
5,1,Sports,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,No,No,"$25k-$49,999",30080,0,0,1,0
1,0,Fighting,1,0,0,0,0,0,0,0,Female,Under 25,Some college,White,,,,,,,No,No,Less than $25k,30506,0,0,1,0
